,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,153.75,164.75,153.75,160.15,217668,ELGIEQUIP
1,2021-01-04 00:00:00+05:30,160.15,160.15,156.95,159.9,164131,ELGIEQUIP
2,2021-01-05 00:00:00+05:30,160.0,160.45,157.4,158.8,242817,ELGIEQUIP
3,2021-01-06 00:00:00+05:30,159.6,160.0,156.3,158.85,74364,ELGIEQUIP
4,2021-01-07 00:00:00+05:30,158.85,160.7,155.1,159.25,204962,ELGIEQUIP
5,2021-01-08 00:00:00+05:30,159.35,184.0,159.35,179.4,3101365,ELGIEQUIP
6,2021-01-11 00:00:00+05:30,193.0,193.0,173.7,179.1,1711050,ELGIEQUIP
7,2021-01-12 00:00:00+05:30,178.8,181.55,173.5,175.1,369774,ELGIEQUIP
8,2021-01-13 00:00:00+05:30,176.45,179.75,172.0,174.8,152800,ELGIEQUIP
9,2021-01-14 00:00:00+05:30,176.0,176.0,169.0,170.0,225572,ELGIEQUIP
10,2021-01-15 00:00:00+05:30,170.45,170.45,165.1,165.9,151148,ELGIEQUIP
11,2021-01-18 00:00:00+05:30,167.25,168.1,160.75,162.8,113203,ELGIEQUIP
12,2021-01-19 00:00:00+05:30,164.0,166.15,164.0,165.0,221240,ELGIEQUIP
13,2021-01-20 00:00:00+05:30,167.5,167.5,161.1,161.85,112107,ELGIEQUIP
14,2021-01-21 00:00:00+05:30,163.9,164.95,162.0,162.3,109310,ELGIEQUIP
15,2021-01-22 00:00:00+05:30,162.3,166.25,159.1,160.3,124753,ELGIEQUIP
16,2021-01-25 00:00:00+05:30,161.0,162.6,155.1,156.0,77331,ELGIEQUIP
17,2021-01-27 00:00:00+05:30,155.0,155.8,151.0,151.55,90717,ELGIEQUIP
18,2021-01-28 00:00:00+05:30,152.0,163.9,149.8,155.7,342495,ELGIEQUIP
19,2021-01-29 00:00:00+05:30,159.0,161.0,156.1,157.8,74765,ELGIEQUIP
20,2021-02-01 00:00:00+05:30,157.5,161.9,155.45,161.15,69518,ELGIEQUIP
21,2021-02-02 00:00:00+05:30,165.0,165.4,161.5,163.15,71257,ELGIEQUIP
22,2021-02-03 00:00:00+05:30,163.9,167.85,161.85,164.4,112480,ELGIEQUIP
23,2021-02-04 00:00:00+05:30,165.25,167.0,163.9,165.85,102241,ELGIEQUIP
24,2021-02-05 00:00:00+05:30,166.65,166.65,163.0,164.7,73235,ELGIEQUIP
25,2021-02-08 00:00:00+05:30,166.0,176.9,164.7,169.7,453917,ELGIEQUIP
26,2021-02-09 00:00:00+05:30,178.95,181.0,170.45,176.1,786634,ELGIEQUIP
27,2021-02-10 00:00:00+05:30,176.0,176.0,168.55,169.7,272428,ELGIEQUIP
28,2021-02-11 00:00:00+05:30,173.0,173.6,163.55,167.0,137682,ELGIEQUIP
29,2021-02-12 00:00:00+05:30,167.9,170.0,166.3,168.0,94907,ELGIEQUIP
30,2021-02-15 00:00:00+05:30,168.85,170.0,164.4,164.75,106210,ELGIEQUIP
31,2021-02-16 00:00:00+05:30,165.0,168.5,165.0,166.85,72250,ELGIEQUIP
32,2021-02-17 00:00:00+05:30,167.65,175.9,166.5,170.85,245894,ELGIEQUIP
33,2021-02-18 00:00:00+05:30,171.7,171.95,167.1,167.7,211818,ELGIEQUIP
34,2021-02-19 00:00:00+05:30,167.0,168.5,163.15,163.8,60362,ELGIEQUIP
35,2021-02-22 00:00:00+05:30,162.7,164.6,160.8,161.8,66950,ELGIEQUIP
36,2021-02-23 00:00:00+05:30,161.35,163.6,159.65,162.45,57529,ELGIEQUIP
37,2021-02-24 00:00:00+05:30,164.75,172.1,161.45,167.7,248393,ELGIEQUIP
38,2021-02-25 00:00:00+05:30,169.75,183.0,168.0,181.05,653058,ELGIEQUIP
39,2021-02-26 00:00:00+05:30,180.95,192.5,177.45,182.15,884725,ELGIEQUIP
40,2021-03-01 00:00:00+05:30,186.45,187.45,183.35,185.45,185073,ELGIEQUIP
41,2021-03-02 00:00:00+05:30,186.9,186.9,181.0,182.35,147403,ELGIEQUIP
42,2021-03-03 00:00:00+05:30,182.5,183.95,178.2,179.7,82468,ELGIEQUIP
43,2021-03-04 00:00:00+05:30,179.5,186.0,178.3,181.65,118378,ELGIEQUIP
44,2021-03-05 00:00:00+05:30,183.5,188.0,182.4,186.7,157840,ELGIEQUIP
45,2021-03-08 00:00:00+05:30,188.0,202.2,184.65,199.45,1308930,ELGIEQUIP
46,2021-03-09 00:00:00+05:30,204.45,211.6,201.0,204.5,2205294,ELGIEQUIP
47,2021-03-10 00:00:00+05:30,205.9,206.7,198.0,202.1,270135,ELGIEQUIP
48,2021-03-12 00:00:00+05:30,205.7,208.6,198.1,201.95,214184,ELGIEQUIP
49,2021-03-15 00:00:00+05:30,202.9,202.9,194.0,196.7,163327,ELGIEQUIP
50,2021-03-16 00:00:00+05:30,197.7,198.95,192.0,193.85,89014,ELGIEQUIP
51,2021-03-17 00:00:00+05:30,194.0,203.4,193.05,198.7,283552,ELGIEQUIP
52,2021-03-18 00:00:00+05:30,198.0,199.35,189.0,191.7,109284,ELGIEQUIP
53,2021-03-19 00:00:00+05:30,192.0,192.0,182.1,189.2,106116,ELGIEQUIP
54,2021-03-22 00:00:00+05:30,192.0,194.0,189.05,193.0,39491,ELGIEQUIP
55,2021-03-23 00:00:00+05:30,191.2,194.0,188.0,189.95,75081,ELGIEQUIP
56,2021-03-24 00:00:00+05:30,190.0,190.1,184.0,186.5,45713,ELGIEQUIP
57,2021-03-25 00:00:00+05:30,186.0,186.45,175.05,180.05,84687,ELGIEQUIP
58,2021-03-26 00:00:00+05:30,182.0,183.65,178.2,180.4,46811,ELGIEQUIP
59,2021-03-30 00:00:00+05:30,181.4,186.7,181.4,183.8,44850,ELGIEQUIP
60,2021-03-31 00:00:00+05:30,184.0,192.0,183.0,190.75,70227,ELGIEQUIP
61,2021-04-01 00:00:00+05:30,190.2,198.75,189.35,197.2,106111,ELGIEQUIP
62,2021-04-05 00:00:00+05:30,198.8,203.0,193.05,194.55,93863,ELGIEQUIP
63,2021-04-06 00:00:00+05:30,196.0,201.55,194.0,199.7,77098,ELGIEQUIP
64,2021-04-07 00:00:00+05:30,203.0,203.0,197.2,197.95,31815,ELGIEQUIP
65,2021-04-08 00:00:00+05:30,200.0,205.95,198.0,204.35,98140,ELGIEQUIP
66,2021-04-09 00:00:00+05:30,207.45,210.4,197.1,201.7,518717,ELGIEQUIP
67,2021-04-12 00:00:00+05:30,190.0,199.45,190.0,191.6,91072,ELGIEQUIP
68,2021-04-13 00:00:00+05:30,188.0,197.0,188.0,194.25,24652,ELGIEQUIP
