Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,16.49,17.69,17.69,17.69,17.69,17.69,17.69,17.69,17.69,17.69,EMMBI
Reserves,33.13,36.69,40.5,45.74,55.27,66.76,80.55,97.27,110.68,117.47,EMMBI
Borrowings,45.95,59.39,69.37,80.5,62.35,78.54,96.81,104.48,115.81,136.42,EMMBI
Other Liabilities,10.59,13.44,13.46,12.34,29.8,35.6,50.25,50.82,52.23,54.79,EMMBI
Total,106.16,127.21,141.02,156.27,165.11,198.59,245.3,270.26,296.41,326.37,EMMBI
Net Block,39.49,47.49,51.98,55.48,61.8,80.18,106.83,117.41,125.64,137.17,EMMBI
Capital Work in Progress,3.61,,,,0.8,5.46,3.65,3.66,6.14,3.87,EMMBI
Investments,0.3,0.3,0.3,0.3,0.35,0.01,0.02,0.02,0.02,0.02,EMMBI
Other Assets,62.76,79.42,88.74,100.49,102.16,112.94,134.8,149.17,164.61,185.31,EMMBI
Total,106.16,127.21,141.02,156.27,165.11,198.59,245.3,270.26,296.41,326.37,EMMBI
Receivables,20.43,25.55,31.15,33.43,32.12,38.32,37.05,45.16,52.01,63.81,EMMBI
Inventory,29.37,40.55,48.63,54.68,57.0,63.29,69.66,72.94,78.68,90.23,EMMBI
Cash & Bank,0.76,0.37,0.15,3.29,1.05,0.38,3.69,3.77,3.7,1.52,EMMBI
No. of Equity Shares,16490250.0,17690000.0,17690250.0,17690250.0,17690000.0,17690000.0,17690000.0,17690000.0,17690000.0,17690000.0,EMMBI
New Bonus Shares,,,,,,,,,,,EMMBI
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,EMMBI
