Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,2770.2,2718.68,3121.93,3509.96,3657.5,3877.71,4487.87,5417.46,4938.57,4773.03,ENDURANCE
Raw Material Cost,1784.42,1791.81,2034.5,2316.22,2401.45,2521.22,2872.18,3531.11,3028.51,3013.79,ENDURANCE
Change in Inventory,-13.22,5.7,11.3,26.17,19.36,43.22,-9.43,7.38,-18.81,44.43,ENDURANCE
Power and Fuel,,,151.16,157.78,143.19,151.67,170.0,201.46,192.83,176.43,ENDURANCE
Other Mfr. Exp,,,120.91,133.76,372.53,393.38,437.26,508.15,480.69,466.61,ENDURANCE
Employee Cost,122.88,141.94,165.89,187.6,215.37,244.93,257.92,280.7,298.82,287.91,ENDURANCE
Selling and admin,,,86.23,107.94,73.88,89.22,105.75,122.94,111.19,99.17,ENDURANCE
Other Expenses,503.93,454.36,172.83,226.64,32.05,49.46,44.89,48.47,65.4,41.97,ENDURANCE
Other Income,17.07,20.45,25.08,38.22,21.46,12.55,-8.56,-4.58,36.19,2.33,ENDURANCE
Depreciation,141.02,141.61,161.76,157.1,147.5,166.86,169.63,175.7,199.25,203.42,ENDURANCE
Interest,86.51,84.11,72.46,41.03,32.97,17.86,10.25,17.07,10.82,4.8,ENDURANCE
Profit before tax,135.29,131.0,192.57,246.28,279.38,298.88,402.0,534.66,568.44,525.69,ENDURANCE
Tax,29.24,30.02,42.53,64.88,70.74,77.39,130.4,176.81,140.75,133.5,ENDURANCE
Net profit,106.05,100.98,150.03,181.4,208.65,221.5,271.6,357.86,427.69,392.2,ENDURANCE
