Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,61.21,48.74,39.36,21.54,134.66,103.07,40.23,13.34,10.77,11.37,ENERGYDEV
Raw Material Cost,,,,,,,,,,,ENERGYDEV
Change in Inventory,2.62,-0.34,-2.07,0.23,-1.15,-0.03,0.15,0.19,-0.7,-0.06,ENERGYDEV
Power and Fuel,0.17,0.28,0.2,0.23,0.23,3.1,0.89,0.76,0.93,0.63,ENERGYDEV
Other Mfr. Exp,38.3,27.67,16.99,8.68,117.95,83.74,24.36,0.91,1.4,1.94,ENERGYDEV
Employee Cost,4.45,5.12,5.38,2.66,2.56,3.02,3.65,4.54,4.31,3.82,ENERGYDEV
Selling and admin,4.69,4.13,4.88,3.01,5.13,7.75,4.57,3.89,4.53,3.22,ENERGYDEV
Other Expenses,2.96,2.01,1.72,0.22,0.9,3.87,4.82,13.41,0.76,0.69,ENERGYDEV
Other Income,10.17,3.47,6.27,6.18,0.49,9.13,5.42,5.7,4.06,3.63,ENERGYDEV
Depreciation,4.54,4.86,4.95,4.06,3.3,3.03,2.9,2.81,2.75,2.68,ENERGYDEV
Interest,7.72,6.74,8.79,7.7,1.63,2.47,3.09,2.81,2.2,2.4,ENERGYDEV
Profit before tax,11.17,1.06,0.65,1.39,2.3,5.19,1.52,-9.9,-2.75,-0.44,ENERGYDEV
Tax,2.02,-5.26,-1.56,0.01,0.69,1.78,0.13,-2.06,0.26,0.05,ENERGYDEV
Net profit,9.15,6.33,2.21,1.38,1.61,3.41,1.39,-7.84,-3.01,-0.5,ENERGYDEV
