Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,3698.82,2505.97,1823.59,1713.0,1511.01,1448.64,1787.58,2444.34,3203.05,3104.69,ENGINERSIN
Raw Material Cost,,,,,,,,,,,ENGINERSIN
Change in Inventory,,,,,,,,,,,ENGINERSIN
Power and Fuel,6.97,9.1,9.8,11.89,11.86,12.2,13.2,13.02,13.06,12.2,ENGINERSIN
Other Mfr. Exp,2218.34,1139.69,651.3,611.3,612.63,262.69,356.49,1103.93,1597.44,1707.06,ENGINERSIN
Employee Cost,541.76,576.62,597.9,592.06,590.68,744.06,757.34,757.32,844.55,858.35,ENGINERSIN
Selling and admin,109.01,120.32,134.47,157.07,131.32,121.34,118.03,111.66,128.69,104.98,ENGINERSIN
Other Expenses,117.06,68.83,-54.51,116.54,-34.38,4.17,128.12,90.85,174.14,82.24,ENGINERSIN
Other Income,232.1,311.73,229.3,264.93,247.77,223.66,179.47,225.06,257.88,39.87,ENGINERSIN
Depreciation,19.45,10.87,14.55,19.63,24.92,22.51,23.83,22.36,23.83,23.43,ENGINERSIN
Interest,3.57,1.33,1.36,1.89,1.94,5.15,1.94,2.75,3.71,5.73,ENGINERSIN
Profit before tax,914.76,890.94,698.02,467.55,419.81,500.18,568.1,567.51,675.51,350.57,ENGINERSIN
Tax,278.44,262.36,218.26,159.58,143.61,175.14,190.23,197.44,245.27,91.07,ENGINERSIN
Net profit,636.32,628.58,479.76,307.98,276.19,325.04,377.87,370.07,430.24,259.5,ENGINERSIN
