Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,128.01,168.16,219.84,242.36,240.74,255.15,EXXARO
Raw Material Cost,,,,,87.66,123.91,170.58,162.14,101.95,85.68,EXXARO
Change in Inventory,,,,,,18.23,28.74,-7.0,30.65,1.27,EXXARO
Power and Fuel,,,,,0.09,0.11,0.16,0.15,68.24,74.98,EXXARO
Other Mfr. Exp,,,,,0.17,0.1,0.03,2.18,16.2,13.47,EXXARO
Employee Cost,,,,,5.04,12.1,16.13,15.18,26.52,19.26,EXXARO
Selling and admin,,,,,6.71,7.79,10.77,6.35,14.71,13.73,EXXARO
Other Expenses,,,,,6.4,10.66,9.34,10.66,0.8,1.9,EXXARO
Other Income,,,,,0.73,0.97,1.83,1.57,3.22,4.65,EXXARO
Depreciation,,,,,4.48,8.1,11.78,14.52,14.3,13.63,EXXARO
Interest,,,,,6.57,11.64,13.24,17.43,19.72,21.26,EXXARO
Profit before tax,,,,,11.62,12.95,18.38,8.32,12.17,17.16,EXXARO
Tax,,,,,0.36,0.65,0.58,0.21,0.91,1.94,EXXARO
Net profit,,,,,11.26,12.31,17.8,8.11,11.26,15.22,EXXARO
