Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,1300.24,1416.04,1376.68,1214.66,1352.23,1310.56,1353.84,1407.35,1378.83,1335.35,GIPCL
Raw Material Cost,,,,,,,,,,,GIPCL
Change in Inventory,,,,,,,,,,,GIPCL
Power and Fuel,18.14,18.4,19.86,23.96,25.42,690.17,647.32,650.06,621.48,642.94,GIPCL
Other Mfr. Exp,770.41,762.09,788.75,641.8,811.8,70.75,81.58,76.36,92.13,97.77,GIPCL
Employee Cost,48.68,56.15,60.57,67.43,68.22,73.45,90.71,87.57,108.41,106.07,GIPCL
Selling and admin,19.53,16.27,22.9,42.9,17.57,22.2,24.73,22.34,18.63,19.24,GIPCL
Other Expenses,11.41,20.63,14.28,16.86,22.56,21.91,26.71,22.84,33.21,23.57,GIPCL
Other Income,-2.88,74.42,30.82,24.71,36.21,69.3,51.24,-101.17,41.89,30.28,GIPCL
Depreciation,168.69,158.23,155.51,120.03,117.61,127.22,159.7,168.4,190.76,161.85,GIPCL
Interest,118.93,105.15,88.27,78.0,75.57,73.19,56.85,50.32,50.73,42.2,GIPCL
Profit before tax,141.57,353.54,257.36,248.39,249.69,300.97,317.48,228.29,305.37,271.99,GIPCL
Tax,23.21,134.66,71.49,122.09,61.45,71.73,72.98,51.88,57.4,88.72,GIPCL
Net profit,118.36,218.88,185.88,126.31,188.25,229.24,244.5,176.4,247.98,183.26,GIPCL
