Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,1.5,1.88,2.24,2.9,2.9,8.71,10.08,10.08,10.08,10.08,GLOBE
Reserves,4.11,7.32,11.36,17.14,18.71,16.35,24.82,28.56,32.19,32.68,GLOBE
Borrowings,9.58,16.5,33.5,30.25,40.18,53.25,59.76,54.9,58.91,74.15,GLOBE
Other Liabilities,11.13,17.97,23.03,20.36,21.02,32.91,37.1,45.31,84.32,97.04,GLOBE
Total,26.32,43.67,70.13,70.65,82.81,111.22,131.76,138.85,185.5,213.95,GLOBE
Net Block,0.16,0.39,0.65,0.69,14.28,16.74,20.86,19.72,18.73,17.65,GLOBE
Capital Work in Progress,,,6.99,13.57,0.26,5.21,,,,,GLOBE
Investments,,,,,,,,,,,GLOBE
Other Assets,26.16,43.28,62.49,56.39,68.27,89.27,110.9,119.13,166.77,196.3,GLOBE
Total,26.32,43.67,70.13,70.65,82.81,111.22,131.76,138.85,185.5,213.95,GLOBE
Receivables,12.28,18.72,29.04,26.32,31.82,43.59,45.82,61.2,96.74,111.63,GLOBE
Inventory,12.19,19.37,28.18,23.07,26.34,38.36,43.34,48.31,58.98,63.58,GLOBE
Cash & Bank,1.12,1.86,3.19,3.45,1.91,1.07,2.52,0.25,0.17,0.07,GLOBE
No. of Equity Shares,1500000.0,1875000.0,2236000.0,2902700.0,2902700.0,8708100.0,10076100.0,10076100.0,10076100.0,10076100.0,GLOBE
New Bonus Shares,,,,,,,,,,,GLOBE
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,GLOBE
