Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,256.98,472.62,288.64,307.34,359.58,375.21,425.88,464.01,468.63,340.12,GMBREW
Raw Material Cost,109.17,133.5,125.78,137.09,126.09,151.09,158.98,164.63,196.85,138.11,GMBREW
Change in Inventory,1.44,-1.54,2.98,-0.04,1.87,-2.06,0.44,2.33,0.02,-2.04,GMBREW
Power and Fuel,0.95,1.26,1.3,1.33,1.36,1.01,0.73,0.67,0.76,0.62,GMBREW
Other Mfr. Exp,110.73,105.49,102.5,109.61,112.93,119.26,126.36,148.8,145.26,93.12,GMBREW
Employee Cost,5.69,6.68,7.66,9.52,10.69,11.26,12.02,12.92,14.06,11.7,GMBREW
Selling and admin,181.34,191.36,205.13,217.95,340.23,390.52,15.27,17.05,19.17,15.77,GMBREW
Other Expenses,-173.56,6.68,-193.2,-206.65,-325.82,-368.9,5.37,5.41,3.86,3.45,GMBREW
Other Income,3.32,1.41,0.56,2.36,9.51,3.97,9.72,13.74,9.43,30.29,GMBREW
Depreciation,3.82,4.08,4.58,5.56,5.41,5.67,5.99,7.33,7.29,5.48,GMBREW
Interest,2.73,2.48,5.79,6.79,12.27,0.21,0.03,0.07,0.05,0.06,GMBREW
Profit before tax,20.87,20.96,32.64,28.46,87.8,67.0,111.29,123.2,90.78,100.06,GMBREW
Tax,7.04,7.03,11.1,9.83,29.48,23.36,38.39,40.9,22.93,19.97,GMBREW
Net profit,13.83,13.92,21.54,18.63,58.31,43.64,72.9,82.3,67.85,80.09,GMBREW
