,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,6.9,6.9,6.75,6.75,3399,GTNTEX
1,2021-01-04 00:00:00+05:30,6.75,6.75,6.65,6.65,3545,GTNTEX
2,2021-01-05 00:00:00+05:30,6.95,6.95,6.95,6.95,1000,GTNTEX
3,2021-01-06 00:00:00+05:30,6.95,7.0,6.8,6.8,19071,GTNTEX
4,2021-01-07 00:00:00+05:30,7.1,7.1,7.0,7.0,2220,GTNTEX
5,2021-01-08 00:00:00+05:30,6.8,7.35,6.8,7.35,3320,GTNTEX
6,2021-01-11 00:00:00+05:30,7.7,7.7,7.6,7.7,10034,GTNTEX
7,2021-01-12 00:00:00+05:30,7.7,7.7,7.45,7.45,237,GTNTEX
8,2021-01-13 00:00:00+05:30,7.45,7.8,7.45,7.8,2620,GTNTEX
9,2021-01-14 00:00:00+05:30,7.8,8.0,7.45,7.45,1026,GTNTEX
10,2021-01-15 00:00:00+05:30,7.5,7.5,7.3,7.3,3082,GTNTEX
11,2021-01-18 00:00:00+05:30,7.1,7.25,7.0,7.0,2900,GTNTEX
12,2021-01-19 00:00:00+05:30,7.35,7.35,7.2,7.2,1720,GTNTEX
13,2021-01-20 00:00:00+05:30,7.2,7.2,6.85,6.85,125,GTNTEX
14,2021-01-21 00:00:00+05:30,6.55,6.55,6.55,6.55,1010,GTNTEX
15,2021-01-25 00:00:00+05:30,6.85,6.85,6.25,6.25,309,GTNTEX
16,2021-01-27 00:00:00+05:30,6.25,6.25,6.25,6.25,500,GTNTEX
17,2021-01-28 00:00:00+05:30,6.3,6.3,6.3,6.3,1000,GTNTEX
18,2021-01-29 00:00:00+05:30,6.25,6.25,6.1,6.1,900,GTNTEX
19,2021-02-01 00:00:00+05:30,6.4,6.4,6.1,6.1,625,GTNTEX
20,2021-02-02 00:00:00+05:30,6.2,6.2,6.2,6.2,1001,GTNTEX
21,2021-02-03 00:00:00+05:30,6.2,6.2,5.9,5.9,1341,GTNTEX
22,2021-02-04 00:00:00+05:30,5.9,5.9,5.9,5.9,156,GTNTEX
23,2021-02-05 00:00:00+05:30,5.8,6.1,5.65,6.1,8708,GTNTEX
24,2021-02-08 00:00:00+05:30,5.8,5.8,5.8,5.8,1100,GTNTEX
25,2021-02-09 00:00:00+05:30,5.6,6.05,5.55,6.05,1069,GTNTEX
26,2021-02-10 00:00:00+05:30,5.75,5.75,5.75,5.75,901,GTNTEX
27,2021-02-11 00:00:00+05:30,6.0,6.0,5.9,6.0,765,GTNTEX
28,2021-02-12 00:00:00+05:30,6.0,6.0,5.7,5.7,1600,GTNTEX
29,2021-02-15 00:00:00+05:30,5.45,5.8,5.45,5.8,1210,GTNTEX
30,2021-02-16 00:00:00+05:30,5.55,5.55,5.55,5.55,3330,GTNTEX
31,2021-02-17 00:00:00+05:30,5.55,5.55,5.55,5.55,100,GTNTEX
32,2021-02-18 00:00:00+05:30,5.6,5.6,5.6,5.6,35,GTNTEX
33,2021-02-19 00:00:00+05:30,5.6,5.6,5.5,5.5,1500,GTNTEX
34,2021-02-22 00:00:00+05:30,5.5,5.55,5.5,5.5,112,GTNTEX
35,2021-02-23 00:00:00+05:30,5.35,5.35,5.35,5.35,300,GTNTEX
36,2021-02-25 00:00:00+05:30,5.6,5.6,5.2,5.2,634,GTNTEX
37,2021-02-26 00:00:00+05:30,5.2,5.2,5.2,5.2,50,GTNTEX
38,2021-03-01 00:00:00+05:30,5.45,5.45,5.2,5.2,2793,GTNTEX
39,2021-03-02 00:00:00+05:30,5.2,5.2,4.95,4.95,1100,GTNTEX
40,2021-03-03 00:00:00+05:30,5.0,5.0,4.95,4.95,6881,GTNTEX
41,2021-03-04 00:00:00+05:30,5.1,5.15,5.1,5.1,623,GTNTEX
42,2021-03-05 00:00:00+05:30,5.1,5.35,5.1,5.35,1308,GTNTEX
43,2021-03-08 00:00:00+05:30,5.35,5.35,5.15,5.15,533,GTNTEX
44,2021-03-09 00:00:00+05:30,5.4,5.4,5.4,5.4,2260,GTNTEX
45,2021-03-10 00:00:00+05:30,5.45,5.5,5.45,5.5,291,GTNTEX
46,2021-03-12 00:00:00+05:30,5.5,5.7,5.5,5.7,359,GTNTEX
47,2021-03-15 00:00:00+05:30,5.65,5.65,5.65,5.65,500,GTNTEX
48,2021-03-16 00:00:00+05:30,5.9,5.9,5.9,5.9,100,GTNTEX
49,2021-03-17 00:00:00+05:30,6.15,6.15,5.65,5.65,1438,GTNTEX
50,2021-03-18 00:00:00+05:30,5.5,5.5,5.45,5.45,360,GTNTEX
51,2021-03-19 00:00:00+05:30,5.2,5.3,5.2,5.3,1713,GTNTEX
52,2021-03-22 00:00:00+05:30,5.1,5.55,5.1,5.55,976,GTNTEX
53,2021-03-23 00:00:00+05:30,5.3,5.3,5.3,5.3,790,GTNTEX
54,2021-04-01 00:00:00+05:30,5.3,5.3,5.05,5.05,1031,GTNTEX
55,2021-04-05 00:00:00+05:30,5.05,5.05,5.05,5.05,900,GTNTEX
56,2021-04-06 00:00:00+05:30,4.85,5.0,4.85,5.0,1353,GTNTEX
57,2021-04-08 00:00:00+05:30,4.9,4.9,4.9,4.9,500,GTNTEX
58,2021-04-09 00:00:00+05:30,4.9,4.9,4.9,4.9,14,GTNTEX
59,2021-04-12 00:00:00+05:30,4.95,5.1,4.95,5.1,226,GTNTEX
60,2021-04-13 00:00:00+05:30,5.35,5.35,5.35,5.35,7,GTNTEX
61,2021-04-19 00:00:00+05:30,5.5,5.5,5.5,5.5,4,GTNTEX
62,2021-04-20 00:00:00+05:30,5.5,5.5,5.5,5.5,145,GTNTEX
63,2021-04-22 00:00:00+05:30,5.25,5.6,5.25,5.5,1273,GTNTEX
64,2021-04-23 00:00:00+05:30,5.5,5.5,5.5,5.5,794,GTNTEX
65,2021-04-26 00:00:00+05:30,5.5,5.5,5.5,5.5,901,GTNTEX
66,2021-04-27 00:00:00+05:30,5.5,5.5,5.5,5.5,1200,GTNTEX
67,2021-04-28 00:00:00+05:30,5.5,5.5,5.25,5.25,214,GTNTEX
68,2021-04-29 00:00:00+05:30,5.25,5.25,5.25,5.25,60,GTNTEX
69,2021-04-30 00:00:00+05:30,5.25,5.3,5.25,5.3,279,GTNTEX
70,2021-05-03 00:00:00+05:30,5.3,5.3,5.3,5.3,1,GTNTEX
71,2021-05-04 00:00:00+05:30,5.55,5.55,5.55,5.55,1004,GTNTEX
72,2021-05-05 00:00:00+05:30,5.4,5.45,5.4,5.45,4236,GTNTEX
73,2021-05-06 00:00:00+05:30,5.2,5.7,5.2,5.7,15048,GTNTEX
74,2021-05-07 00:00:00+05:30,5.9,5.9,5.45,5.45,2400,GTNTEX
75,2021-05-10 00:00:00+05:30,5.65,5.65,5.6,5.6,751,GTNTEX
76,2021-05-11 00:00:00+05:30,5.45,5.85,5.45,5.55,6443,GTNTEX
77,2021-05-12 00:00:00+05:30,5.55,5.55,5.55,5.55,4447,GTNTEX
78,2021-05-14 00:00:00+05:30,5.8,5.8,5.6,5.8,1250,GTNTEX
79,2021-05-17 00:00:00+05:30,6.05,6.05,6.0,6.05,3733,GTNTEX
80,2021-05-18 00:00:00+05:30,6.0,6.0,5.8,5.8,1714,GTNTEX
81,2021-05-19 00:00:00+05:30,5.8,5.8,5.8,5.8,10,GTNTEX
82,2021-05-20 00:00:00+05:30,5.8,5.8,5.8,5.8,24,GTNTEX
83,2021-05-21 00:00:00+05:30,5.8,5.8,5.8,5.8,725,GTNTEX
84,2021-05-24 00:00:00+05:30,5.85,5.85,5.85,5.85,510,GTNTEX
85,2021-05-25 00:00:00+05:30,5.65,5.9,5.65,5.9,1514,GTNTEX
86,2021-05-26 00:00:00+05:30,5.75,5.85,5.75,5.75,769,GTNTEX
87,2021-05-27 00:00:00+05:30,5.8,5.8,5.6,5.6,979,GTNTEX
88,2021-05-28 00:00:00+05:30,5.85,5.85,5.85,5.85,114,GTNTEX
89,2021-05-31 00:00:00+05:30,5.75,5.75,5.75,5.75,500,GTNTEX
90,2021-06-01 00:00:00+05:30,5.75,5.75,5.75,5.75,62,GTNTEX
91,2021-06-02 00:00:00+05:30,5.9,5.9,5.85,5.85,1100,GTNTEX
92,2021-06-03 00:00:00+05:30,5.85,6.05,5.85,6.0,1521,GTNTEX
