Report Date,Unnamed: 1,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,0.05,137.68,137.68,137.68,137.68,137.68,137.68,137.68,137.68,GUJGASLTD
Reserves,,-3.86,1498.12,1853.23,1371.79,1507.2,1708.73,2046.31,3152.94,4344.97,GUJGASLTD
Borrowings,,1500.0,3301.33,3225.72,2356.61,2358.88,2328.22,2213.11,2055.36,976.75,GUJGASLTD
Other Liabilities,,353.98,1716.77,1678.97,2183.98,2344.6,2458.68,2730.37,2551.29,2990.0,GUJGASLTD
Total,,1850.17,6653.9,6895.6,6050.06,6348.36,6633.31,7127.47,7897.27,8449.4,GUJGASLTD
Net Block,,,4473.44,4486.66,4672.88,4902.98,5094.01,5289.99,5585.08,5965.7,GUJGASLTD
Capital Work in Progress,,,270.07,357.39,468.16,505.72,478.33,488.86,569.49,687.82,GUJGASLTD
Investments,,1847.59,840.99,1099.02,121.77,68.28,16.09,16.05,17.25,19.77,GUJGASLTD
Other Assets,,2.58,1069.4,952.53,787.25,871.38,1044.88,1332.57,1725.45,1776.11,GUJGASLTD
Total,,1850.17,6653.9,6895.6,6050.06,6348.36,6633.31,7127.47,7897.27,8449.4,GUJGASLTD
Receivables,,,545.13,360.6,300.49,347.51,391.71,510.31,510.14,783.09,GUJGASLTD
Inventory,,,37.54,41.09,41.34,41.65,56.78,69.41,46.26,52.21,GUJGASLTD
Cash & Bank,,0.06,211.58,237.41,67.84,60.82,136.3,309.16,691.72,318.66,GUJGASLTD
No. of Equity Shares,,50000.0,137678000.0,137678025.0,137678025.0,137678025.0,137678025.0,688390125.0,688390125.0,688390125.0,GUJGASLTD
New Bonus Shares,,,,,,,,,,,GUJGASLTD
Face value,,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,GUJGASLTD
