Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,10.77,10.77,10.77,10.87,10.87,15.22,15.22,15.98,16.17,21.56,HATSUN
Reserves,96.94,118.79,168.62,210.59,219.79,333.39,350.31,788.7,888.31,999.95,HATSUN
Borrowings,340.53,402.42,493.54,613.7,671.51,919.29,1298.96,1027.91,1433.63,1621.54,HATSUN
Other Liabilities,120.02,155.12,170.78,220.5,255.31,319.83,367.13,413.25,376.14,473.98,HATSUN
Total,568.26,687.1,843.71,1055.66,1157.48,1587.73,2031.62,2245.84,2714.25,3117.03,HATSUN
Net Block,361.19,391.76,503.67,632.24,647.23,991.37,1216.61,1407.81,1755.78,1929.1,HATSUN
Capital Work in Progress,8.49,44.78,106.31,23.38,32.53,90.27,259.34,233.15,354.57,384.44,HATSUN
Investments,,0.68,0.8,0.8,0.26,0.25,0.13,0.12,0.12,8.3,HATSUN
Other Assets,198.58,249.88,232.93,399.24,477.46,505.84,555.54,604.76,603.78,795.19,HATSUN
Total,568.26,687.1,843.71,1055.66,1157.48,1587.73,2031.62,2245.84,2714.25,3117.03,HATSUN
Receivables,8.62,42.78,21.9,12.63,14.91,40.96,7.05,8.25,14.55,9.07,HATSUN
Inventory,141.22,110.7,88.56,258.53,346.77,296.53,383.73,403.41,373.96,569.77,HATSUN
Cash & Bank,10.17,30.23,10.73,23.57,29.45,55.32,32.84,36.41,44.7,39.25,HATSUN
No. of Equity Shares,107821648.0,107821648.0,107821648.0,108821648.0,108821648.0,152298307.0,152298307.0,161808826.0,161808826.0,215699657.0,HATSUN
New Bonus Shares,,,,,,43476659.0,,,,,HATSUN
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,HATSUN
