Report Date,2012-06-30 00:00:00,2013-06-30 00:00:00,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,8907.22,12517.82,16497.37,17153.44,13434.64,19318.0,22073.0,26012.0,32666.0,35673.0,HCLTECH
Raw Material Cost,180.51,251.66,345.37,363.76,162.66,124.0,138.0,142.0,151.0,142.0,HCLTECH
Change in Inventory,-25.85,-7.83,-64.75,66.23,46.79,-39.0,-50.0,-22.0,-3.0,3.0,HCLTECH
Power and Fuel,154.23,201.3,205.15,218.96,167.23,234.0,236.0,234.0,197.0,170.0,HCLTECH
Other Mfr. Exp,340.72,1395.98,2063.73,2455.15,2066.49,2705.0,3493.0,5539.0,7984.0,8201.0,HCLTECH
Employee Cost,3923.06,4628.61,5123.95,5924.62,4866.92,6844.0,7365.0,8079.0,9955.0,11749.0,HCLTECH
Selling and admin,1598.57,1126.69,1266.56,1311.36,965.39,1252.0,1166.0,1299.0,1034.0,546.0,HCLTECH
Other Expenses,174.06,315.02,116.97,86.22,116.9,267.0,286.0,279.0,578.0,433.0,HCLTECH
Other Income,300.86,472.38,659.12,1199.5,968.42,956.0,702.0,805.0,613.0,965.0,HCLTECH
Depreciation,353.07,441.91,490.7,299.92,276.89,478.0,893.0,1276.0,1959.0,2813.0,HCLTECH
Interest,97.27,76.46,81.65,60.64,45.82,55.0,23.0,16.0,240.0,177.0,HCLTECH
Profit before tax,2360.74,4544.74,7397.66,7698.54,5781.55,8276.0,9125.0,9931.0,11178.0,12410.0,HCLTECH
Tax,410.32,840.02,1413.04,1352.59,1062.47,1403.0,1763.0,1746.0,2209.0,3667.0,HCLTECH
Net profit,1950.42,3704.72,5984.62,6345.95,4719.08,6873.0,7362.0,8185.0,8969.0,8743.0,HCLTECH
