Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,1.6,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,3.2,HERCULES
Reserves,136.28,156.66,170.8,177.02,184.53,336.09,376.85,423.58,334.04,491.2,HERCULES
Borrowings,4.12,0.55,,,7.3,,,,,0.14,HERCULES
Other Liabilities,21.02,28.47,35.89,35.09,47.76,14.85,16.79,23.89,14.94,30.93,HERCULES
Total,163.02,188.88,209.89,215.31,242.79,354.14,396.84,450.67,352.18,525.47,HERCULES
Net Block,29.2,28.42,26.99,25.2,26.07,35.62,35.02,35.89,34.13,32.56,HERCULES
Capital Work in Progress,0.56,0.04,0.48,1.64,0.15,0.09,0.22,0.09,0.08,0.02,HERCULES
Investments,22.59,24.28,39.78,43.62,51.4,204.72,261.66,314.56,225.45,422.21,HERCULES
Other Assets,110.67,136.14,142.64,144.85,165.17,113.71,99.94,100.13,92.52,70.68,HERCULES
Total,163.02,188.88,209.89,215.31,242.79,354.14,396.84,450.67,352.18,525.47,HERCULES
Receivables,22.12,25.18,31.67,33.37,38.66,22.56,18.83,11.35,9.78,9.86,HERCULES
Inventory,20.97,25.23,31.03,31.84,47.09,32.63,33.0,39.46,32.38,24.83,HERCULES
Cash & Bank,25.1,37.83,23.37,9.52,6.47,3.29,2.04,5.84,3.6,4.76,HERCULES
No. of Equity Shares,16000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,32000000.0,HERCULES
New Bonus Shares,,16000000.0,,,,,,,,,HERCULES
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,HERCULES
