Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,11.05,HEXATRADEX
Reserves,206.3,205.61,205.92,215.56,218.29,235.29,241.0,244.34,247.98,1150.92,HEXATRADEX
Borrowings,3.0,13.57,,,2.38,0.91,1.05,3.0,1.37,3.54,HEXATRADEX
Other Liabilities,1.0,26.27,0.26,0.66,3.48,10.01,11.95,12.88,14.96,282.69,HEXATRADEX
Total,221.35,256.5,217.23,227.27,235.2,257.26,265.05,271.27,275.36,1448.2,HEXATRADEX
Net Block,,0.01,,,,,,,,0.01,HEXATRADEX
Capital Work in Progress,,,,,,,,,,,HEXATRADEX
Investments,25.59,25.59,25.64,25.64,221.52,247.29,256.75,263.0,274.79,1447.57,HEXATRADEX
Other Assets,195.76,230.9,191.59,201.63,13.68,9.97,8.3,8.27,0.57,0.62,HEXATRADEX
Total,221.35,256.5,217.23,227.27,235.2,257.26,265.05,271.27,275.36,1448.2,HEXATRADEX
Receivables,2.42,38.19,0.09,0.16,0.09,0.09,0.09,0.01,,,HEXATRADEX
Inventory,,,,,,,,,,,HEXATRADEX
Cash & Bank,0.03,0.16,0.26,0.41,0.43,0.36,0.1,0.2,0.04,0.09,HEXATRADEX
No. of Equity Shares,55245354.0,55245354.0,55245000.0,55245354.0,55245354.0,55245354.0,55245354.0,55245354.0,55245354.0,55245354.0,HEXATRADEX
New Bonus Shares,,,,,,,,,,,HEXATRADEX
Face value,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,HEXATRADEX
