Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,497.49,373.38,361.02,431.93,449.97,448.31,527.26,647.22,509.33,522.38,HITECHGEAR
Raw Material Cost,278.63,210.69,208.1,252.89,249.33,234.86,284.94,355.02,259.88,269.97,HITECHGEAR
Change in Inventory,3.12,-1.64,1.36,1.33,2.02,1.33,4.51,9.05,-0.24,0.24,HITECHGEAR
Power and Fuel,17.4,14.17,13.38,18.18,21.08,23.9,30.11,33.38,28.79,25.82,HITECHGEAR
Other Mfr. Exp,32.52,20.88,21.18,28.42,31.74,31.18,36.97,45.8,35.69,36.53,HITECHGEAR
Employee Cost,63.46,55.55,55.37,60.91,68.7,72.5,79.35,100.61,95.76,80.12,HITECHGEAR
Selling and admin,3.47,3.57,3.8,3.92,3.78,13.64,16.45,20.61,15.61,16.6,HITECHGEAR
Other Expenses,18.71,14.46,14.71,16.43,20.15,18.87,13.39,18.48,15.2,11.16,HITECHGEAR
Other Income,3.32,2.0,5.18,2.58,1.61,5.91,13.19,16.24,6.2,10.26,HITECHGEAR
Depreciation,19.82,23.16,23.06,25.11,22.73,25.08,26.3,27.08,27.45,25.15,HITECHGEAR
Interest,7.41,7.62,5.9,3.69,2.49,2.94,9.06,18.41,21.6,17.89,HITECHGEAR
Profit before tax,62.51,23.64,22.06,26.29,33.6,32.58,48.39,53.12,15.31,49.64,HITECHGEAR
Tax,20.4,7.43,6.13,7.88,12.44,11.7,16.47,17.64,7.56,12.35,HITECHGEAR
Net profit,42.11,16.21,15.93,18.42,21.16,20.88,31.91,35.48,7.74,37.29,HITECHGEAR
