Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,1312.16,1538.01,1707.79,1817.15,1959.35,2071.63,2249.51,1604.76,1859.07,1852.59,HSIL
Raw Material Cost,440.75,510.21,626.84,680.08,772.54,809.99,964.27,603.68,771.7,728.25,HSIL
Change in Inventory,32.96,76.47,43.9,19.89,22.77,6.48,75.38,-7.27,81.9,-40.42,HSIL
Power and Fuel,274.69,399.74,380.23,283.24,235.41,248.43,284.37,353.62,357.42,293.47,HSIL
Other Mfr. Exp,115.84,134.21,141.62,149.5,158.32,169.36,175.77,184.84,197.08,198.09,HSIL
Employee Cost,140.19,158.34,170.23,197.09,247.49,286.37,308.91,201.05,227.52,223.07,HSIL
Selling and admin,126.61,163.32,169.61,196.38,195.33,233.19,270.76,55.7,63.22,55.52,HSIL
Other Expenses,-4.16,-10.94,-4.49,-10.78,48.82,38.29,48.17,24.95,52.92,29.54,HSIL
Other Income,7.08,28.17,3.46,3.52,13.22,1.37,2.92,39.03,20.25,23.84,HSIL
Depreciation,56.7,85.08,105.7,119.25,114.43,110.83,114.04,131.31,142.88,121.36,HSIL
Interest,38.91,63.94,67.89,73.55,41.05,33.36,55.76,58.98,73.48,71.88,HSIL
Profit before tax,162.67,138.75,97.52,152.25,181.95,149.66,105.76,22.39,75.0,114.83,HSIL
Tax,52.57,39.63,41.32,48.1,65.67,46.64,31.0,7.12,26.58,26.77,HSIL
Net profit,110.1,99.12,56.2,104.15,116.28,103.01,74.76,15.27,48.42,88.06,HSIL
