Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,35.48,35.48,35.48,39.48,39.48,39.48,39.48,39.48,39.48,39.48,ICIL
Reserves,124.02,139.99,232.04,360.86,574.4,787.07,899.39,920.51,932.89,1234.9,ICIL
Borrowings,353.87,410.9,404.1,330.15,339.85,266.95,370.62,308.86,347.85,541.15,ICIL
Other Liabilities,143.65,226.55,269.3,422.9,329.43,346.37,334.89,283.16,338.47,431.14,ICIL
Total,657.02,812.92,940.92,1153.39,1283.16,1439.87,1644.38,1552.01,1658.69,2246.67,ICIL
Net Block,337.05,332.33,317.55,360.32,455.37,499.18,511.41,544.11,546.81,535.49,ICIL
Capital Work in Progress,4.86,1.77,0.33,14.44,10.65,12.08,23.55,16.4,5.86,7.72,ICIL
Investments,19.54,19.47,18.8,18.8,18.8,19.61,19.8,71.26,25.02,191.85,ICIL
Other Assets,295.57,459.35,604.24,759.83,798.34,909.0,1089.62,920.24,1081.0,1511.61,ICIL
Total,657.02,812.92,940.92,1153.39,1283.16,1439.87,1644.38,1552.01,1658.69,2246.67,ICIL
Receivables,68.08,127.61,166.92,208.04,326.59,366.55,324.98,275.04,257.92,525.15,ICIL
Inventory,128.99,196.0,257.12,264.13,287.88,357.79,524.42,466.71,501.01,677.28,ICIL
Cash & Bank,5.91,7.57,11.8,16.27,19.3,10.37,13.63,20.28,128.18,116.55,ICIL
No. of Equity Shares,35481634.0,35481634.0,35481634.0,39479934.0,39479934.0,197399670.0,197399670.0,197399670.0,197399670.0,197399670.0,ICIL
New Bonus Shares,,,,,,,,,,,ICIL
Face value,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,ICIL
