Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,260.73,269.0,260.98,327.73,335.87,351.09,452.39,525.21,478.81,481.23,INDNIPPON
Raw Material Cost,178.76,184.05,182.83,229.03,235.7,233.66,299.36,342.29,314.31,326.26,INDNIPPON
Change in Inventory,1.35,0.02,-1.54,1.89,2.5,-0.76,2.23,0.49,-0.29,1.33,INDNIPPON
Power and Fuel,3.82,5.55,4.82,5.32,5.59,5.49,5.88,6.51,5.98,5.99,INDNIPPON
Other Mfr. Exp,7.61,8.45,8.02,11.35,9.52,11.28,14.77,16.1,16.9,15.64,INDNIPPON
Employee Cost,26.75,27.08,30.07,35.27,40.28,44.73,53.63,60.27,62.79,67.88,INDNIPPON
Selling and admin,7.05,9.1,9.25,12.45,8.26,14.69,18.44,25.26,22.53,18.5,INDNIPPON
Other Expenses,1.52,1.25,-0.07,2.11,3.43,2.71,-1.97,-2.11,-0.91,1.9,INDNIPPON
Other Income,8.68,7.92,7.32,5.69,10.05,13.54,12.37,14.34,25.14,16.19,INDNIPPON
Depreciation,5.28,6.13,5.62,7.75,4.18,4.17,5.97,7.73,9.41,10.35,INDNIPPON
Interest,0.21,0.18,0.12,0.16,0.13,0.06,0.07,0.08,0.56,0.56,INDNIPPON
Profit before tax,39.76,35.15,26.1,31.87,41.33,47.08,70.84,83.91,72.09,51.67,INDNIPPON
Tax,8.46,6.78,6.44,9.21,10.74,14.68,20.74,24.4,16.89,10.98,INDNIPPON
Net profit,31.3,28.37,19.66,22.66,30.59,32.4,50.1,59.51,55.2,40.7,INDNIPPON
