Report Date,Unnamed: 1,Unnamed: 2,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,0.05,50.1,50.39,50.87,62.76,65.89,66.17,66.49,INTELLECT
Reserves,,,,471.47,506.91,473.76,639.6,864.34,826.91,1119.6,INTELLECT
Borrowings,,,,,15.1,228.18,128.69,132.41,272.38,51.39,INTELLECT
Other Liabilities,,,0.01,177.3,188.92,154.61,246.46,309.02,357.17,499.59,INTELLECT
Total,,,0.06,698.87,761.32,907.42,1077.51,1371.66,1522.63,1737.07,INTELLECT
Net Block,,,,103.41,146.82,165.36,200.21,232.23,227.28,260.46,INTELLECT
Capital Work in Progress,,,,44.8,41.38,71.46,108.3,144.07,214.52,200.39,INTELLECT
Investments,,,,293.79,206.91,191.11,128.65,124.46,109.98,189.92,INTELLECT
Other Assets,,,0.06,256.87,366.21,479.49,640.35,870.9,970.85,1086.3,INTELLECT
Total,,,0.06,698.87,761.32,907.42,1077.51,1371.66,1522.63,1737.07,INTELLECT
Receivables,,,,95.85,165.41,166.57,259.98,216.68,445.54,367.04,INTELLECT
Inventory,,,,,,,,,,,INTELLECT
Cash & Bank,,,0.05,34.98,9.81,55.13,92.56,25.38,42.52,52.13,INTELLECT
No. of Equity Shares,,,100000.0,100198474.0,100778624.0,101733872.0,125529084.0,131774715.0,132338530.0,132974363.0,INTELLECT
New Bonus Shares,,,,,,,,,,,INTELLECT
Face value,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,INTELLECT
