,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,72.0,84.8,71.0,80.55,1397762,JAGSNPHARM
1,2021-01-04 00:00:00+05:30,80.95,87.5,80.0,85.1,907448,JAGSNPHARM
2,2021-01-05 00:00:00+05:30,84.95,84.95,82.1,83.0,217975,JAGSNPHARM
3,2021-01-06 00:00:00+05:30,83.5,88.85,79.15,83.55,228940,JAGSNPHARM
4,2021-01-07 00:00:00+05:30,84.4,87.0,81.15,82.1,131358,JAGSNPHARM
5,2021-01-08 00:00:00+05:30,82.85,89.05,79.65,83.85,507039,JAGSNPHARM
6,2021-01-11 00:00:00+05:30,84.7,84.7,80.6,81.65,129749,JAGSNPHARM
7,2021-01-12 00:00:00+05:30,80.1,83.65,80.1,81.05,122644,JAGSNPHARM
8,2021-01-13 00:00:00+05:30,82.65,82.8,77.8,79.45,142793,JAGSNPHARM
9,2021-01-14 00:00:00+05:30,79.8,80.55,77.0,78.75,108975,JAGSNPHARM
10,2021-01-15 00:00:00+05:30,77.2,82.65,77.2,80.1,134637,JAGSNPHARM
11,2021-01-18 00:00:00+05:30,80.1,81.55,76.65,77.4,87495,JAGSNPHARM
12,2021-01-19 00:00:00+05:30,78.9,80.0,77.7,79.35,54211,JAGSNPHARM
13,2021-01-20 00:00:00+05:30,80.85,80.85,78.5,78.85,28653,JAGSNPHARM
14,2021-01-21 00:00:00+05:30,78.85,81.5,76.0,76.65,76047,JAGSNPHARM
15,2021-01-22 00:00:00+05:30,76.85,77.55,74.15,74.85,79302,JAGSNPHARM
16,2021-01-25 00:00:00+05:30,75.4,76.2,72.3,73.55,71766,JAGSNPHARM
17,2021-01-27 00:00:00+05:30,76.0,81.9,75.25,77.35,288431,JAGSNPHARM
18,2021-01-28 00:00:00+05:30,78.0,78.0,73.65,75.05,133866,JAGSNPHARM
19,2021-01-29 00:00:00+05:30,75.95,77.45,73.5,74.65,214801,JAGSNPHARM
20,2021-02-01 00:00:00+05:30,75.0,76.45,72.85,74.75,84319,JAGSNPHARM
21,2021-02-02 00:00:00+05:30,76.55,78.7,74.0,75.05,156601,JAGSNPHARM
22,2021-02-03 00:00:00+05:30,74.5,76.7,74.5,74.7,42247,JAGSNPHARM
23,2021-02-04 00:00:00+05:30,74.0,77.0,74.0,75.85,38714,JAGSNPHARM
24,2021-02-05 00:00:00+05:30,75.25,76.85,74.45,74.85,53953,JAGSNPHARM
25,2021-02-08 00:00:00+05:30,74.85,79.2,74.85,77.65,112023,JAGSNPHARM
26,2021-02-09 00:00:00+05:30,78.35,82.85,77.0,79.4,154110,JAGSNPHARM
27,2021-02-10 00:00:00+05:30,81.75,81.75,79.1,80.3,97133,JAGSNPHARM
28,2021-02-11 00:00:00+05:30,78.2,82.45,78.2,80.9,88204,JAGSNPHARM
29,2021-02-12 00:00:00+05:30,80.9,83.95,76.55,82.45,162785,JAGSNPHARM
30,2021-02-15 00:00:00+05:30,83.0,84.75,80.5,81.0,121953,JAGSNPHARM
31,2021-02-16 00:00:00+05:30,81.5,87.75,78.5,86.6,626378,JAGSNPHARM
32,2021-02-17 00:00:00+05:30,87.4,94.8,87.35,93.35,738474,JAGSNPHARM
33,2021-02-18 00:00:00+05:30,95.5,95.95,88.05,89.7,577359,JAGSNPHARM
34,2021-02-19 00:00:00+05:30,89.0,90.95,82.75,83.9,454467,JAGSNPHARM
35,2021-02-22 00:00:00+05:30,84.0,88.65,83.4,85.5,418389,JAGSNPHARM
36,2021-02-23 00:00:00+05:30,85.8,92.9,84.0,91.6,532447,JAGSNPHARM
37,2021-02-24 00:00:00+05:30,91.65,95.7,89.45,93.65,318398,JAGSNPHARM
38,2021-02-25 00:00:00+05:30,96.1,102.0,95.1,96.35,742279,JAGSNPHARM
39,2021-02-26 00:00:00+05:30,95.0,96.95,90.2,91.65,336290,JAGSNPHARM
40,2021-03-01 00:00:00+05:30,92.15,97.5,87.45,89.1,499936,JAGSNPHARM
41,2021-03-02 00:00:00+05:30,90.55,94.85,88.4,88.85,417853,JAGSNPHARM
42,2021-03-03 00:00:00+05:30,90.3,95.3,88.55,94.05,583010,JAGSNPHARM
43,2021-03-04 00:00:00+05:30,93.5,96.9,91.0,91.65,406284,JAGSNPHARM
44,2021-03-05 00:00:00+05:30,92.75,94.6,90.0,90.5,298678,JAGSNPHARM
45,2021-03-08 00:00:00+05:30,91.25,93.3,88.8,89.3,217786,JAGSNPHARM
46,2021-03-09 00:00:00+05:30,89.8,93.0,86.35,88.25,536087,JAGSNPHARM
47,2021-03-10 00:00:00+05:30,88.5,91.8,86.9,89.05,224253,JAGSNPHARM
48,2021-03-12 00:00:00+05:30,90.7,91.95,87.75,88.25,99246,JAGSNPHARM
49,2021-03-15 00:00:00+05:30,89.65,90.6,85.2,86.85,177119,JAGSNPHARM
50,2021-03-16 00:00:00+05:30,87.4,92.7,86.7,88.65,384142,JAGSNPHARM
51,2021-03-17 00:00:00+05:30,88.65,90.85,83.95,85.4,434733,JAGSNPHARM
52,2021-03-18 00:00:00+05:30,85.4,88.8,77.05,79.2,431284,JAGSNPHARM
53,2021-03-19 00:00:00+05:30,79.4,81.0,75.65,78.25,427232,JAGSNPHARM
54,2021-03-22 00:00:00+05:30,78.1,83.55,75.9,79.75,557632,JAGSNPHARM
55,2021-03-23 00:00:00+05:30,80.4,82.0,79.15,80.15,98230,JAGSNPHARM
56,2021-03-24 00:00:00+05:30,80.1,87.8,78.2,82.2,520027,JAGSNPHARM
57,2021-03-25 00:00:00+05:30,81.0,83.55,77.3,79.75,340576,JAGSNPHARM
58,2021-03-26 00:00:00+05:30,80.75,86.0,78.1,79.7,389976,JAGSNPHARM
59,2021-03-30 00:00:00+05:30,80.7,85.0,78.2,80.05,324518,JAGSNPHARM
60,2021-03-31 00:00:00+05:30,80.25,81.55,76.2,79.6,237900,JAGSNPHARM
61,2021-04-01 00:00:00+05:30,80.0,84.8,79.2,79.9,490978,JAGSNPHARM
62,2021-04-05 00:00:00+05:30,80.55,81.8,77.25,79.0,349226,JAGSNPHARM
63,2021-04-06 00:00:00+05:30,79.75,82.5,79.2,81.55,318125,JAGSNPHARM
64,2021-04-07 00:00:00+05:30,81.75,85.45,80.55,81.9,408641,JAGSNPHARM
65,2021-04-08 00:00:00+05:30,82.55,83.55,80.3,82.15,195773,JAGSNPHARM
66,2021-04-09 00:00:00+05:30,81.95,84.8,81.6,83.35,318634,JAGSNPHARM
67,2021-04-12 00:00:00+05:30,82.8,82.8,76.55,77.7,349012,JAGSNPHARM
68,2021-04-13 00:00:00+05:30,79.95,82.15,75.25,78.55,273883,JAGSNPHARM
69,2021-04-15 00:00:00+05:30,80.0,81.85,76.95,79.15,528915,JAGSNPHARM
70,2021-04-16 00:00:00+05:30,80.75,81.25,78.25,80.0,242017,JAGSNPHARM
71,2021-04-19 00:00:00+05:30,79.7,81.45,77.5,78.3,338319,JAGSNPHARM
72,2021-04-20 00:00:00+05:30,79.5,93.95,79.2,92.75,1449818,JAGSNPHARM
73,2021-04-22 00:00:00+05:30,93.9,109.4,93.0,106.6,2142636,JAGSNPHARM
74,2021-04-23 00:00:00+05:30,108.5,108.5,94.35,97.85,900651,JAGSNPHARM
75,2021-04-26 00:00:00+05:30,98.0,103.0,96.45,98.9,333102,JAGSNPHARM
76,2021-04-27 00:00:00+05:30,100.0,101.7,96.5,97.05,185250,JAGSNPHARM
77,2021-04-28 00:00:00+05:30,97.05,106.8,97.05,97.75,371516,JAGSNPHARM
78,2021-04-29 00:00:00+05:30,98.1,99.9,96.4,97.15,121835,JAGSNPHARM
79,2021-04-30 00:00:00+05:30,96.0,98.7,94.25,95.4,97406,JAGSNPHARM
80,2021-05-03 00:00:00+05:30,96.35,97.9,86.8,94.7,142641,JAGSNPHARM
81,2021-05-04 00:00:00+05:30,95.8,101.75,95.35,96.05,320342,JAGSNPHARM
82,2021-05-05 00:00:00+05:30,97.4,99.85,96.05,96.75,216095,JAGSNPHARM
83,2021-05-06 00:00:00+05:30,97.75,98.4,96.0,96.5,86407,JAGSNPHARM
84,2021-05-07 00:00:00+05:30,97.0,101.0,96.75,97.3,259074,JAGSNPHARM
85,2021-05-10 00:00:00+05:30,97.5,100.95,97.5,99.65,231906,JAGSNPHARM
86,2021-05-11 00:00:00+05:30,97.5,101.0,97.5,98.2,156226,JAGSNPHARM
87,2021-05-12 00:00:00+05:30,98.95,100.6,96.25,96.85,157186,JAGSNPHARM
88,2021-05-14 00:00:00+05:30,97.25,98.35,94.65,95.15,67331,JAGSNPHARM
89,2021-05-17 00:00:00+05:30,94.6,97.0,93.35,95.75,100991,JAGSNPHARM
90,2021-05-18 00:00:00+05:30,96.8,97.0,94.05,94.75,91555,JAGSNPHARM
91,2021-05-19 00:00:00+05:30,95.95,99.9,95.0,97.35,203359,JAGSNPHARM
92,2021-05-20 00:00:00+05:30,97.35,98.55,96.0,97.05,94910,JAGSNPHARM
93,2021-05-21 00:00:00+05:30,97.05,100.95,96.2,98.2,280074,JAGSNPHARM
94,2021-05-24 00:00:00+05:30,98.65,99.9,97.35,98.9,94095,JAGSNPHARM
95,2021-05-25 00:00:00+05:30,99.45,108.0,99.1,104.3,512150,JAGSNPHARM
96,2021-05-26 00:00:00+05:30,105.3,105.65,100.15,101.25,145026,JAGSNPHARM
97,2021-05-27 00:00:00+05:30,101.8,103.75,98.35,99.05,425926,JAGSNPHARM
98,2021-05-28 00:00:00+05:30,99.8,101.25,96.55,97.1,288810,JAGSNPHARM
99,2021-05-31 00:00:00+05:30,97.6,104.7,96.35,101.5,538427,JAGSNPHARM
100,2021-06-01 00:00:00+05:30,103.0,121.8,102.15,121.8,2103954,JAGSNPHARM
101,2021-06-02 00:00:00+05:30,125.8,141.7,122.05,128.15,3211570,JAGSNPHARM
102,2021-06-03 00:00:00+05:30,129.0,138.0,128.4,131.05,563351,JAGSNPHARM
103,2021-06-04 00:00:00+05:30,130.95,131.9,126.0,126.45,432888,JAGSNPHARM
104,2021-06-07 00:00:00+05:30,126.2,134.5,126.2,129.6,294756,JAGSNPHARM
105,2021-06-08 00:00:00+05:30,130.0,134.6,122.55,124.55,234706,JAGSNPHARM
106,2021-06-09 00:00:00+05:30,125.9,128.35,121.5,122.45,123439,JAGSNPHARM
107,2021-06-10 00:00:00+05:30,123.8,124.95,121.1,122.05,53787,JAGSNPHARM
108,2021-06-11 00:00:00+05:30,121.45,146.45,121.45,146.45,1173901,JAGSNPHARM
109,2021-06-14 00:00:00+05:30,152.0,170.7,137.0,158.85,1946065,JAGSNPHARM
110,2021-06-15 00:00:00+05:30,160.0,161.0,153.25,155.6,321689,JAGSNPHARM
111,2021-06-16 00:00:00+05:30,155.05,170.0,155.05,159.6,471706,JAGSNPHARM
112,2021-06-17 00:00:00+05:30,158.0,162.9,155.25,159.4,175490,JAGSNPHARM
113,2021-06-18 00:00:00+05:30,158.1,160.45,138.0,154.65,369719,JAGSNPHARM
114,2021-06-21 00:00:00+05:30,152.25,157.55,148.7,151.2,179862,JAGSNPHARM
115,2021-06-22 00:00:00+05:30,153.4,156.5,151.8,153.05,90987,JAGSNPHARM
116,2021-06-23 00:00:00+05:30,157.0,157.9,150.65,151.5,104682,JAGSNPHARM
117,2021-06-24 00:00:00+05:30,151.5,153.0,146.25,147.3,86878,JAGSNPHARM
118,2021-06-25 00:00:00+05:30,147.3,160.2,147.3,156.6,338113,JAGSNPHARM
119,2021-06-28 00:00:00+05:30,157.7,166.0,157.5,161.4,247022,JAGSNPHARM
120,2021-06-29 00:00:00+05:30,162.4,163.5,153.1,153.85,187875,JAGSNPHARM
121,2021-06-30 00:00:00+05:30,155.0,159.9,155.0,157.65,123328,JAGSNPHARM
122,2021-07-01 00:00:00+05:30,155.0,157.0,150.65,151.8,131180,JAGSNPHARM
123,2021-07-02 00:00:00+05:30,151.8,154.75,150.75,152.15,90159,JAGSNPHARM
