Report Date,2012-06-30 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,2933.23,1544.84,1968.1,1477.74,1212.57,1563.9,2389.33,3077.47,2912.3,2785.18,JAIBALAJI
Raw Material Cost,2346.39,1063.66,1494.12,1160.83,1056.89,1352.09,1883.05,2360.94,2267.64,2102.67,JAIBALAJI
Change in Inventory,138.16,-150.85,-7.42,-16.74,4.43,74.73,-23.92,-38.39,27.8,33.33,JAIBALAJI
Power and Fuel,191.25,135.51,135.17,84.37,64.85,55.54,128.0,163.45,162.68,142.78,JAIBALAJI
Other Mfr. Exp,313.78,152.43,163.07,132.29,132.09,172.61,289.38,320.35,290.88,282.8,JAIBALAJI
Employee Cost,73.12,49.38,59.02,50.72,52.12,56.32,68.93,81.83,90.01,88.71,JAIBALAJI
Selling and admin,80.17,64.28,61.15,52.61,50.34,56.93,70.09,82.97,72.08,84.23,JAIBALAJI
Other Expenses,20.92,3.84,17.47,0.61,12.75,45.13,18.95,5.8,20.96,20.87,JAIBALAJI
Other Income,24.16,21.71,22.66,31.46,15.89,20.76,-22.4,35.78,49.38,9.77,JAIBALAJI
Depreciation,138.76,86.13,135.72,126.16,116.2,111.9,107.36,101.61,96.79,93.99,JAIBALAJI
Interest,320.0,176.45,336.36,375.0,413.77,44.95,33.91,111.59,102.78,88.04,JAIBALAJI
Profit before tax,-388.84,-315.98,-418.74,-490.13,-666.12,-236.08,-256.66,-153.68,-114.34,-75.81,JAIBALAJI
Tax,-112.78,-102.85,-99.79,-103.75,,,,,,,JAIBALAJI
Net profit,-276.06,-213.13,-318.95,-386.37,-666.12,-236.09,-256.66,-153.68,-114.34,-75.82,JAIBALAJI
