Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,136.62,136.62,136.62,136.62,148.53,155.96,175.5,178.24,178.24,169.4,JKPAPER
Reserves,714.81,738.87,661.49,641.38,962.56,1150.1,1470.09,1862.97,2189.81,2430.82,JKPAPER
Borrowings,1093.55,1746.04,2189.28,2088.85,1891.77,1697.7,1309.53,1350.01,1370.25,2301.94,JKPAPER
Other Liabilities,437.95,442.95,484.2,448.42,482.76,590.1,652.74,844.42,1005.07,1132.43,JKPAPER
Total,2382.93,3064.48,3471.59,3315.27,3485.62,3593.86,3607.86,4235.64,4743.37,6034.59,JKPAPER
Net Block,807.06,771.03,2468.4,2296.8,2750.95,2635.7,2602.91,2567.7,2521.6,2418.48,JKPAPER
Capital Work in Progress,581.86,1540.84,17.15,27.46,19.56,15.51,34.4,52.2,349.03,1562.69,JKPAPER
Investments,72.96,15.05,95.58,28.02,40.62,271.0,164.07,912.65,700.95,865.02,JKPAPER
Other Assets,921.05,737.56,890.46,962.99,674.49,671.65,806.48,703.09,1171.79,1188.4,JKPAPER
Total,2382.93,3064.48,3471.59,3315.27,3485.62,3593.86,3607.86,4235.64,4743.37,6034.59,JKPAPER
Receivables,144.16,119.38,170.8,145.92,139.18,110.81,109.15,77.17,74.7,79.17,JKPAPER
Inventory,164.19,216.0,291.51,373.58,334.71,382.94,394.23,322.47,447.29,345.59,JKPAPER
Cash & Bank,147.69,33.8,8.34,17.35,14.64,27.4,122.02,15.04,30.22,8.69,JKPAPER
No. of Equity Shares,136620625.0,136620000.0,136620600.0,136620600.0,148530625.0,155958865.0,175500850.0,178243585.0,178243585.0,169402344.0,JKPAPER
New Bonus Shares,,,,,,,,,,,JKPAPER
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,JKPAPER
