Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,106.8,33.18,14.81,18.94,20.93,26.74,50.41,96.33,60.75,69.9,KILITCH
Raw Material Cost,70.59,26.6,7.32,6.49,8.92,10.5,26.35,53.16,36.49,37.97,KILITCH
Change in Inventory,-1.35,-0.26,1.46,-0.53,0.19,-0.75,0.44,0.18,0.73,-1.09,KILITCH
Power and Fuel,6.35,1.19,1.09,0.82,0.96,1.05,1.09,1.41,1.62,1.57,KILITCH
Other Mfr. Exp,4.65,1.85,1.72,1.76,2.76,3.16,2.52,3.8,4.62,5.48,KILITCH
Employee Cost,5.0,3.03,2.86,3.13,3.43,3.27,4.23,5.24,5.66,5.23,KILITCH
Selling and admin,3.55,3.54,5.2,4.3,5.45,6.33,7.54,12.12,11.11,11.1,KILITCH
Other Expenses,108.2,0.39,1.84,3.54,2.76,1.81,3.14,3.79,0.38,2.12,KILITCH
Other Income,199.67,8.26,6.29,2.69,2.34,1.14,2.78,4.39,5.71,4.19,KILITCH
Depreciation,4.83,1.23,1.44,1.85,1.61,1.32,1.19,1.2,1.15,1.14,KILITCH
Interest,2.95,0.08,0.03,0.05,0.06,0.15,0.41,0.65,0.93,0.88,KILITCH
Profit before tax,99.0,3.27,1.06,-0.84,-2.49,-0.46,7.16,19.53,5.23,7.51,KILITCH
Tax,21.05,-0.01,-0.11,-0.66,-0.44,-0.42,0.96,4.76,0.77,1.36,KILITCH
Net profit,77.95,3.28,1.18,-0.19,-2.05,-0.04,6.2,14.77,4.46,6.16,KILITCH
