Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,19.0,19.0,19.0,22.73,26.55,27.84,30.24,31.34,33.62,33.62,KIRIINDUS
Reserves,360.02,174.07,94.53,88.0,130.24,239.23,416.09,572.27,614.38,575.37,KIRIINDUS
Borrowings,542.33,717.9,768.66,771.13,411.38,174.79,165.71,157.58,143.32,142.0,KIRIINDUS
Other Liabilities,174.61,156.31,163.02,287.37,211.85,332.94,248.28,303.07,296.21,342.06,KIRIINDUS
Total,1095.96,1067.28,1045.21,1169.23,780.02,774.8,860.32,1064.26,1087.53,1093.05,KIRIINDUS
Net Block,295.35,264.78,263.2,306.65,276.92,304.88,348.6,429.1,463.59,518.97,KIRIINDUS
Capital Work in Progress,94.81,108.85,109.08,88.54,3.03,36.03,32.13,37.73,76.66,57.94,KIRIINDUS
Investments,166.36,166.65,169.77,172.41,174.44,168.46,168.29,140.29,140.29,140.32,KIRIINDUS
Other Assets,539.44,527.0,503.16,601.63,325.63,265.43,311.3,457.14,406.99,375.82,KIRIINDUS
Total,1095.96,1067.28,1045.21,1169.23,780.02,774.8,860.32,1064.26,1087.53,1093.05,KIRIINDUS
Receivables,265.9,295.1,319.67,441.22,216.51,140.4,181.03,208.5,188.72,144.65,KIRIINDUS
Inventory,158.67,149.27,90.99,53.88,50.45,40.33,56.77,108.26,96.96,106.93,KIRIINDUS
Cash & Bank,3.15,2.86,6.16,0.51,2.34,4.58,6.57,10.57,6.83,5.74,KIRIINDUS
No. of Equity Shares,19000053.0,19000053.0,19000053.0,22725126.0,26549951.0,27843951.0,30243951.0,31343951.0,33620646.0,33620646.0,KIRIINDUS
New Bonus Shares,,,,,,,,,,,KIRIINDUS
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,KIRIINDUS
