Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,383.91,435.91,468.14,543.88,614.19,629.65,629.55,688.77,634.04,403.12,KOKUYOCMLN
Raw Material Cost,273.74,298.47,304.78,358.38,381.05,410.68,390.29,444.89,371.4,182.42,KOKUYOCMLN
Change in Inventory,28.69,3.54,3.26,14.77,-0.62,11.37,10.09,37.14,-9.36,-53.89,KOKUYOCMLN
Power and Fuel,3.48,4.12,4.37,4.91,5.64,5.79,7.37,8.81,8.3,4.52,KOKUYOCMLN
Other Mfr. Exp,6.99,9.31,17.23,24.09,25.69,28.02,29.05,30.53,30.81,15.81,KOKUYOCMLN
Employee Cost,41.83,51.42,54.66,60.36,66.6,68.06,80.19,93.16,83.3,73.06,KOKUYOCMLN
Selling and admin,58.41,63.78,67.76,77.72,90.21,109.77,79.41,80.07,150.69,82.68,KOKUYOCMLN
Other Expenses,14.82,16.39,19.46,15.84,19.85,-4.81,14.32,17.11,-56.79,-18.1,KOKUYOCMLN
Other Income,1.81,0.25,0.97,7.67,5.37,2.57,2.01,0.77,0.81,0.33,KOKUYOCMLN
Depreciation,6.92,7.64,8.57,10.97,11.86,12.08,16.51,17.87,19.28,18.4,KOKUYOCMLN
Interest,6.63,7.35,8.77,9.77,10.73,11.75,9.61,11.5,9.72,8.93,KOKUYOCMLN
Profit before tax,1.59,-18.78,-13.23,4.28,7.31,2.25,14.9,22.74,8.78,-18.16,KOKUYOCMLN
Tax,0.25,-5.34,-1.65,-0.64,2.06,0.75,5.08,7.54,4.43,-3.54,KOKUYOCMLN
Net profit,1.34,-13.44,-11.58,4.92,5.26,1.5,9.82,15.2,4.36,-14.62,KOKUYOCMLN
