Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,3101.0,3764.29,4188.83,4698.42,4992.21,5185.4,5423.75,5905.96,6474.77,6232.41,KTKBANK
Raw Material Cost,,,,,,,,,,,KTKBANK
Change in Inventory,,,,,,,,,,,KTKBANK
Power and Fuel,,,,,,,,,,,KTKBANK
Other Mfr. Exp,14.55,16.39,17.65,22.46,24.36,28.81,35.25,42.79,45.34,51.31,KTKBANK
Employee Cost,325.65,375.81,526.39,525.62,444.15,602.61,527.23,607.88,899.37,915.04,KTKBANK
Selling and admin,105.15,117.81,143.87,171.7,202.15,221.85,245.19,259.02,267.62,288.59,KTKBANK
Other Expenses,322.55,303.15,439.56,410.84,604.83,928.99,1644.11,1335.44,1493.87,1737.86,KTKBANK
Other Income,346.27,397.64,505.58,507.0,542.86,809.34,954.34,1001.96,1261.63,1495.07,KTKBANK
Depreciation,21.91,24.03,25.53,-14.17,42.23,49.75,50.06,54.14,63.76,73.52,KTKBANK
Interest,2368.87,2860.56,3132.76,3529.57,3689.34,3694.78,3566.1,4000.84,4444.41,4049.23,KTKBANK
Profit before tax,288.59,464.18,408.65,559.4,528.01,467.95,310.15,607.81,522.03,611.93,KTKBANK
Tax,42.52,116.1,97.62,107.95,112.71,15.69,-15.45,130.57,90.25,129.36,KTKBANK
Net profit,246.07,348.08,311.03,451.45,415.29,452.26,325.61,477.24,431.78,482.57,KTKBANK
