Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,114.09,152.62,175.91,221.69,247.85,235.25,259.29,278.1,270.01,211.28,LAOPALA
Raw Material Cost,19.39,26.4,25.16,27.62,49.08,29.92,29.01,37.39,34.41,17.31,LAOPALA
Change in Inventory,3.1,4.5,-3.26,-0.11,9.2,-6.93,-2.81,15.51,7.88,-25.33,LAOPALA
Power and Fuel,19.59,24.27,24.23,24.44,28.18,27.76,33.97,45.0,41.8,23.24,LAOPALA
Other Mfr. Exp,15.0,16.6,16.55,25.88,7.36,21.4,23.09,24.67,24.23,19.28,LAOPALA
Employee Cost,16.68,20.62,23.99,29.25,36.34,37.95,42.3,49.33,50.99,42.31,LAOPALA
Selling and admin,18.32,24.28,31.01,46.42,47.21,12.43,14.65,20.07,16.97,10.99,LAOPALA
Other Expenses,1.28,1.15,1.65,1.82,2.4,9.93,4.05,4.51,4.99,4.23,LAOPALA
Other Income,,-1.59,0.99,0.74,1.4,10.84,10.67,17.05,16.69,7.88,LAOPALA
Depreciation,4.59,5.56,7.01,10.3,8.98,12.44,13.78,16.46,15.97,12.23,LAOPALA
Interest,4.07,4.19,3.28,0.84,0.98,1.34,0.84,0.61,0.57,0.25,LAOPALA
Profit before tax,18.27,32.46,40.76,55.75,77.92,85.99,105.46,112.62,104.65,63.99,LAOPALA
Tax,5.67,9.58,10.81,14.02,19.21,23.81,32.03,38.58,20.38,14.41,LAOPALA
Net profit,12.6,22.88,29.95,41.74,58.71,62.19,73.44,74.04,84.27,49.57,LAOPALA
