Report Date,2011-12-31 00:00:00,2012-12-31 00:00:00,2013-12-31 00:00:00,2014-12-31 00:00:00,2015-12-31 00:00:00,2016-12-31 00:00:00,2017-12-31 00:00:00,2018-12-31 00:00:00,2019-12-31 00:00:00,2020-12-31 00:00:00,Company_Name
Equity Share Capital,85.28,85.28,85.28,85.28,85.28,85.28,85.28,85.28,85.28,85.28,LINDEINDIA
Reserves,1176.7,1248.63,1342.04,1303.94,1307.3,1310.06,1322.43,1341.52,2051.56,2118.44,LINDEINDIA
Borrowings,838.04,1098.96,1527.81,1564.43,1388.26,1445.35,1281.86,1199.36,108.47,6.9,LINDEINDIA
Other Liabilities,880.44,981.2,1010.87,925.86,883.36,721.92,679.61,758.7,969.5,1034.37,LINDEINDIA
Total,2980.46,3414.07,3966.0,3879.51,3664.2,3562.61,3369.18,3384.86,3214.81,3244.99,LINDEINDIA
Net Block,992.78,1684.11,1664.87,2200.78,2157.59,2572.75,2497.55,2161.55,2035.14,1989.19,LINDEINDIA
Capital Work in Progress,499.05,576.18,743.73,356.09,576.55,80.29,35.91,44.46,52.94,17.06,LINDEINDIA
Investments,15.0,15.0,15.01,15.01,15.01,15.02,15.03,0.03,0.03,2.04,LINDEINDIA
Other Assets,1473.63,1138.78,1542.39,1307.63,915.05,894.55,820.69,1178.82,1126.7,1236.7,LINDEINDIA
Total,2980.46,3414.07,3966.0,3879.51,3664.2,3562.61,3369.18,3384.86,3214.81,3244.99,LINDEINDIA
Receivables,324.03,309.56,290.83,307.39,336.28,356.85,352.72,364.71,382.81,407.21,LINDEINDIA
Inventory,73.95,71.49,76.29,70.86,65.3,68.68,68.33,70.96,65.41,68.59,LINDEINDIA
Cash & Bank,23.12,46.3,58.34,57.17,21.03,106.14,38.64,125.4,240.86,325.86,LINDEINDIA
No. of Equity Shares,85284223.0,85284223.0,85284223.0,85284223.0,85284223.0,85284223.0,85284223.0,85284223.0,85284223.0,85284223.0,LINDEINDIA
New Bonus Shares,,,,,,,,,,,LINDEINDIA
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,LINDEINDIA
