Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,108.11,113.11,395.88,395.88,395.88,395.88,LODHA
Reserves,,,,,2912.06,3728.91,4625.5,3224.64,3941.33,3758.08,LODHA
Borrowings,,,,,11330.93,12553.02,15860.5,16999.12,16896.6,14815.49,LODHA
Other Liabilities,,,,,11009.78,12155.49,9283.3,15000.11,13204.98,12998.41,LODHA
Total,,,,,25360.88,28550.53,30165.18,35619.75,34438.79,31967.86,LODHA
Net Block,,,,,1212.4,1105.15,1863.27,1490.83,1684.65,1627.18,LODHA
Capital Work in Progress,,,,,288.66,99.95,5.92,6.29,6.29,6.29,LODHA
Investments,,,,,1679.17,2587.13,924.59,981.73,1057.98,1058.88,LODHA
Other Assets,,,,,22180.65,24758.3,27371.4,33140.9,31689.87,29275.51,LODHA
Total,,,,,25360.88,28550.53,30165.18,35619.75,34438.79,31967.86,LODHA
Receivables,,,,,466.52,317.4,711.38,407.77,730.67,580.59,LODHA
Inventory,,,,,16059.32,17379.8,21505.0,27155.09,25370.79,23762.1,LODHA
Cash & Bank,,,,,192.05,203.44,174.16,262.59,115.66,213.85,LODHA
No. of Equity Shares,,,,,216216000.0,226216000.0,395878000.0,395878000.0,395878000.0,395878000.0,LODHA
New Bonus Shares,,,,,,,282770000.0,,,,LODHA
Face value,,,,,5.0,5.0,10.0,10.0,10.0,10.0,LODHA
