Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,13.63,LUMAXTECH
Reserves,71.24,83.97,89.74,110.16,123.22,181.36,244.77,432.29,400.67,474.48,LUMAXTECH
Borrowings,1.09,25.64,51.64,41.07,33.07,33.97,1.0,55.06,69.92,39.51,LUMAXTECH
Other Liabilities,98.1,115.24,140.42,113.08,135.56,125.36,248.86,261.55,206.59,263.53,LUMAXTECH
Total,184.06,238.48,295.43,277.94,305.48,354.32,508.26,762.53,690.81,791.15,LUMAXTECH
Net Block,31.87,41.27,115.49,112.82,116.29,122.04,140.16,223.99,244.34,240.95,LUMAXTECH
Capital Work in Progress,4.99,36.12,0.74,0.46,2.99,5.93,2.6,2.05,1.13,5.14,LUMAXTECH
Investments,25.55,26.3,26.31,28.48,28.58,88.42,131.05,172.2,123.56,201.78,LUMAXTECH
Other Assets,121.65,134.79,152.89,136.18,157.62,137.93,234.45,364.29,321.78,343.28,LUMAXTECH
Total,184.06,238.48,295.43,277.94,305.48,354.32,508.26,762.53,690.81,791.15,LUMAXTECH
Receivables,74.3,82.94,91.97,75.21,95.88,87.56,166.52,227.28,164.85,179.55,LUMAXTECH
Inventory,13.95,17.53,23.07,28.93,31.04,26.43,43.09,32.64,39.64,44.95,LUMAXTECH
Cash & Bank,21.37,4.75,10.05,10.5,9.15,12.78,8.3,37.62,76.31,64.31,LUMAXTECH
No. of Equity Shares,13631541.0,13631541.0,13631541.0,13631541.0,13631541.0,13631541.0,13631541.0,68158000.0,68158000.0,68158000.0,LUMAXTECH
New Bonus Shares,,,,,,,,,,,LUMAXTECH
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,LUMAXTECH
