Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,27.64,29.88,28.55,28.55,28.55,28.55,28.55,28.55,28.55,28.55,MANINDS
Reserves,617.29,682.44,634.71,460.08,540.79,571.75,624.8,673.28,716.04,804.39,MANINDS
Borrowings,409.28,536.23,438.26,442.67,353.17,447.07,374.0,243.62,301.42,302.87,MANINDS
Other Liabilities,448.18,379.33,474.19,516.9,326.97,313.21,678.76,650.34,784.89,654.98,MANINDS
Total,1502.39,1627.88,1575.71,1448.2,1249.48,1360.58,1706.11,1595.79,1830.9,1790.79,MANINDS
Net Block,347.99,393.39,403.18,353.53,346.55,343.03,355.41,396.4,368.28,336.68,MANINDS
Capital Work in Progress,0.93,3.26,1.93,3.4,18.89,5.28,63.0,2.76,3.56,1.01,MANINDS
Investments,302.46,29.63,20.6,101.89,104.54,104.73,129.49,130.6,133.23,132.79,MANINDS
Other Assets,851.01,1201.6,1150.0,989.38,779.5,907.54,1158.21,1066.03,1325.83,1320.31,MANINDS
Total,1502.39,1627.88,1575.71,1448.2,1249.48,1360.58,1706.11,1595.79,1830.9,1790.79,MANINDS
Receivables,298.5,298.35,282.51,465.58,246.17,323.65,367.04,532.41,427.07,635.28,MANINDS
Inventory,160.21,172.7,115.41,136.01,127.51,108.92,418.3,216.63,379.6,331.56,MANINDS
Cash & Bank,107.77,168.75,178.43,148.32,167.5,154.46,66.43,47.22,221.5,101.87,MANINDS
No. of Equity Shares,55284874.0,59767055.0,57103055.0,57103055.0,57103055.0,57103055.0,57103055.0,57103055.0,57103055.0,57103055.0,MANINDS
New Bonus Shares,,,,,,,,,,,MANINDS
Face value,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,MANINDS
