Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,,,3.83,3.83,3.83,3.83,MAPMYINDIA
Reserves,,,,,,,107.76,140.67,149.11,211.5,MAPMYINDIA
Borrowings,,,,,,,0.19,,22.86,19.92,MAPMYINDIA
Other Liabilities,,,,,,,165.73,172.71,183.76,193.03,MAPMYINDIA
Total,,,,,,,277.51,317.21,359.56,428.28,MAPMYINDIA
Net Block,,,,,,,21.96,20.04,39.98,32.98,MAPMYINDIA
Capital Work in Progress,,,,,,,,,,,MAPMYINDIA
Investments,,,,,,,168.41,203.56,204.01,275.02,MAPMYINDIA
Other Assets,,,,,,,87.14,93.61,115.57,120.28,MAPMYINDIA
Total,,,,,,,277.51,317.21,359.56,428.28,MAPMYINDIA
Receivables,,,,,,,29.4,23.72,31.14,28.28,MAPMYINDIA
Inventory,,,,,,,7.91,4.7,4.77,3.33,MAPMYINDIA
Cash & Bank,,,,,,,9.27,20.86,28.85,62.06,MAPMYINDIA
No. of Equity Shares,,,,,,,3832831.0,3832831.0,3832831.0,3832831.0,MAPMYINDIA
New Bonus Shares,,,,,,,,,,,MAPMYINDIA
Face value,,,,,,,10.0,10.0,10.0,10.0,MAPMYINDIA
