Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,364.42,392.59,489.86,577.25,617.87,576.79,575.58,656.37,725.61,622.02,MONTECARLO
Raw Material Cost,226.26,210.83,279.84,338.25,342.02,313.71,284.32,359.04,408.25,317.89,MONTECARLO
Change in Inventory,43.29,3.44,19.45,46.0,30.22,-14.21,-7.89,14.64,25.11,-13.1,MONTECARLO
Power and Fuel,4.91,5.67,8.27,6.84,6.98,5.84,5.22,5.67,5.85,4.99,MONTECARLO
Other Mfr. Exp,29.57,32.59,41.0,41.68,47.52,42.22,43.97,55.37,62.9,53.13,MONTECARLO
Employee Cost,13.74,18.91,27.04,41.88,46.38,49.24,53.07,59.49,69.62,59.89,MONTECARLO
Selling and admin,53.63,62.89,67.83,69.68,77.22,68.94,64.42,80.47,67.92,44.73,MONTECARLO
Other Expenses,-2.28,-5.81,-8.35,1.33,7.09,5.36,3.54,12.44,11.76,12.62,MONTECARLO
Other Income,3.19,12.02,14.2,18.34,14.73,23.93,17.79,18.05,11.52,20.06,MONTECARLO
Depreciation,5.95,6.82,16.21,33.4,29.27,24.74,20.96,19.1,33.4,34.2,MONTECARLO
Interest,6.54,3.69,9.32,17.08,16.24,11.75,7.72,8.95,17.01,13.51,MONTECARLO
Profit before tax,72.58,72.46,82.35,91.45,90.1,64.71,102.26,88.53,85.53,88.02,MONTECARLO
Tax,23.73,22.98,27.95,31.68,31.16,20.55,34.34,28.93,22.84,21.73,MONTECARLO
Net profit,48.86,49.48,54.4,59.77,58.94,44.16,67.91,59.6,62.69,66.3,MONTECARLO
