Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,694.75,919.7,1191.06,1089.72,901.86,849.32,1160.37,1669.8,1532.73,1723.13,MSPL
Raw Material Cost,486.05,610.15,862.64,944.91,735.81,594.74,868.68,1267.83,1185.27,1332.02,MSPL
Change in Inventory,18.01,8.35,-16.08,27.28,-29.86,-23.88,7.66,15.67,-11.79,12.08,MSPL
Power and Fuel,18.73,23.83,13.71,12.22,11.56,12.89,10.19,10.95,11.84,11.72,MSPL
Other Mfr. Exp,43.16,59.3,62.34,87.27,73.56,80.3,93.14,135.21,139.4,129.39,MSPL
Employee Cost,18.4,25.02,30.55,31.68,30.46,28.43,33.24,38.78,45.3,44.19,MSPL
Selling and admin,21.02,28.58,33.13,27.75,22.33,27.73,30.89,37.81,29.28,35.26,MSPL
Other Expenses,9.21,20.13,13.6,7.44,9.25,6.79,14.69,64.51,39.28,40.16,MSPL
Other Income,5.17,5.94,36.27,5.44,1.65,1.05,7.38,1.46,0.79,0.91,MSPL
Depreciation,29.09,46.28,54.8,52.94,63.33,56.42,56.92,54.66,53.79,55.48,MSPL
Interest,58.59,90.51,108.75,109.32,118.5,123.24,129.22,79.12,85.5,79.25,MSPL
Profit before tax,33.68,30.19,31.73,-151.09,-191.15,-104.05,-61.56,-1.94,-67.93,8.65,MSPL
Tax,7.66,10.07,10.73,-48.52,-8.73,-10.45,-5.85,18.65,7.63,3.59,MSPL
Net profit,26.03,20.13,21.0,-102.57,-182.43,-93.6,-55.71,-20.6,-75.56,5.06,MSPL
