Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,120.0,120.0,120.0,120.0,120.0,180.0,180.0,180.0,180.0,180.0,NBCC
Reserves,675.49,830.69,1007.29,1204.13,1404.61,1493.6,1641.37,1384.81,1343.61,1511.5,NBCC
Borrowings,,,,,11.63,5.93,,,,,NBCC
Other Liabilities,2841.73,2778.34,3063.55,3420.33,3898.35,4843.4,5828.72,6739.73,6265.22,6666.72,NBCC
Total,3637.22,3729.03,4190.84,4744.46,5434.59,6522.93,7650.09,8304.54,7788.83,8358.22,NBCC
Net Block,23.31,24.33,22.54,26.22,61.78,64.98,63.51,73.65,60.28,58.35,NBCC
Capital Work in Progress,,,,,,,,,,,NBCC
Investments,223.6,162.09,113.5,151.85,230.79,104.85,58.6,358.62,343.54,333.54,NBCC
Other Assets,3390.31,3542.61,4054.8,4566.39,5142.02,6353.1,7527.98,7872.27,7385.01,7966.33,NBCC
Total,3637.22,3729.03,4190.84,4744.46,5434.59,6522.93,7650.09,8304.54,7788.83,8358.22,NBCC
Receivables,935.67,830.3,1316.42,1704.12,1835.1,2186.61,2258.46,2107.64,1364.7,1638.54,NBCC
Inventory,450.06,632.44,996.72,1154.84,1423.56,1570.37,1657.56,1837.45,1790.82,1741.62,NBCC
Cash & Bank,1325.2,1537.76,1195.9,1059.46,1140.6,1552.96,1713.55,1580.65,1760.89,1990.77,NBCC
No. of Equity Shares,120000000.0,120000000.0,120000000.0,120000000.0,120000000.0,900000000.0,900000000.0,1800000000.0,1800000000.0,1800000000.0,NBCC
New Bonus Shares,,,,,,300000000.0,,,,,NBCC
Face value,10.0,10.0,10.0,10.0,10.0,2.0,2.0,1.0,1.0,1.0,NBCC
