Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,21.39,21.39,21.39,21.39,21.39,21.39,21.39,21.39,21.39,21.39,OMAXAUTO
Reserves,180.54,193.56,187.3,193.28,198.62,199.12,208.79,207.67,249.87,265.44,OMAXAUTO
Borrowings,196.97,195.39,161.23,137.35,97.97,155.86,128.6,210.76,231.35,234.83,OMAXAUTO
Other Liabilities,229.09,176.25,190.52,182.8,206.56,215.05,236.81,152.02,114.51,71.57,OMAXAUTO
Total,627.99,586.59,560.44,534.82,524.54,591.42,595.59,591.84,617.12,593.23,OMAXAUTO
Net Block,318.38,309.89,311.87,293.48,282.08,238.26,226.06,158.15,144.99,233.83,OMAXAUTO
Capital Work in Progress,1.9,2.88,1.31,0.65,1.5,3.03,0.21,12.65,152.43,83.74,OMAXAUTO
Investments,0.05,0.05,0.05,0.03,,,,,,,OMAXAUTO
Other Assets,307.66,273.77,247.21,240.66,240.96,350.13,369.32,421.04,319.7,275.66,OMAXAUTO
Total,627.99,586.59,560.44,534.82,524.54,591.42,595.59,591.84,617.12,593.23,OMAXAUTO
Receivables,121.58,83.2,96.54,109.21,114.2,167.43,165.08,129.7,116.74,32.94,OMAXAUTO
Inventory,44.38,39.7,44.32,35.86,42.25,55.1,57.42,74.37,45.91,30.48,OMAXAUTO
Cash & Bank,46.49,57.0,23.83,25.63,27.39,28.71,39.76,26.01,2.12,19.17,OMAXAUTO
No. of Equity Shares,21388213.0,21388213.0,21388213.0,21388213.0,21388213.0,21388213.0,21388213.0,21388213.0,21388213.0,21388213.0,OMAXAUTO
New Bonus Shares,,,,,,,,,,,OMAXAUTO
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,OMAXAUTO
