Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63,9.63,OMINFRAL
Reserves,418.69,449.59,503.82,529.68,558.27,593.45,630.26,645.07,630.35,638.2,OMINFRAL
Borrowings,162.48,110.41,66.67,88.4,88.89,104.35,116.44,110.59,97.26,99.19,OMINFRAL
Other Liabilities,73.92,98.29,106.2,69.62,113.97,115.97,82.17,184.7,219.2,209.99,OMINFRAL
Total,664.72,667.92,686.32,697.33,770.76,823.4,838.5,949.99,956.44,957.01,OMINFRAL
Net Block,153.2,145.73,139.53,128.68,154.15,169.49,160.86,131.02,127.19,117.89,OMINFRAL
Capital Work in Progress,1.26,1.26,1.31,1.83,0.13,0.79,4.67,2.62,1.07,1.03,OMINFRAL
Investments,114.17,128.94,129.79,129.57,134.04,181.47,176.95,177.63,164.89,161.55,OMINFRAL
Other Assets,396.09,391.99,415.69,437.25,482.44,471.65,496.02,638.72,663.29,676.54,OMINFRAL
Total,664.72,667.92,686.32,697.33,770.76,823.4,838.5,949.99,956.44,957.01,OMINFRAL
Receivables,83.04,101.86,58.38,59.22,82.44,85.71,74.29,86.73,95.35,105.7,OMINFRAL
Inventory,61.51,44.08,43.21,51.11,61.74,84.64,92.24,137.31,121.79,136.88,OMINFRAL
Cash & Bank,7.61,7.68,63.1,69.41,46.94,6.0,57.69,51.34,35.36,44.96,OMINFRAL
No. of Equity Shares,96303809.0,96303809.0,96303809.0,96303809.0,96303809.0,96303809.0,96303809.0,96303809.0,96303809.0,96303809.0,OMINFRAL
New Bonus Shares,,,,,,,,,,,OMINFRAL
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,OMINFRAL
