,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,11.3,11.6,11.1,11.4,15210,ORIENTALTL
1,2021-01-04 00:00:00+05:30,11.4,11.95,11.1,11.25,62740,ORIENTALTL
2,2021-01-05 00:00:00+05:30,11.7,11.7,11.1,11.2,39587,ORIENTALTL
3,2021-01-06 00:00:00+05:30,11.2,11.45,11.0,11.0,177720,ORIENTALTL
4,2021-01-07 00:00:00+05:30,11.0,11.45,11.0,11.2,23072,ORIENTALTL
5,2021-01-08 00:00:00+05:30,11.05,11.3,11.0,11.0,76783,ORIENTALTL
6,2021-01-11 00:00:00+05:30,11.5,11.5,11.05,11.05,34496,ORIENTALTL
7,2021-01-12 00:00:00+05:30,10.55,11.2,10.55,11.05,22410,ORIENTALTL
8,2021-01-13 00:00:00+05:30,11.05,11.2,11.0,11.0,29618,ORIENTALTL
9,2021-01-14 00:00:00+05:30,11.15,11.25,11.0,11.0,28976,ORIENTALTL
10,2021-01-15 00:00:00+05:30,11.2,11.35,11.0,11.0,38768,ORIENTALTL
11,2021-01-18 00:00:00+05:30,11.2,11.2,11.05,11.05,34665,ORIENTALTL
12,2021-01-19 00:00:00+05:30,11.1,11.15,11.0,11.0,16638,ORIENTALTL
13,2021-01-20 00:00:00+05:30,11.25,11.25,11.0,11.0,42296,ORIENTALTL
14,2021-01-21 00:00:00+05:30,10.95,11.2,10.85,11.0,20641,ORIENTALTL
15,2021-01-22 00:00:00+05:30,11.0,11.05,10.95,10.95,56868,ORIENTALTL
16,2021-01-25 00:00:00+05:30,11.0,11.1,10.45,10.5,93587,ORIENTALTL
17,2021-01-27 00:00:00+05:30,10.5,10.5,10.0,10.0,8569,ORIENTALTL
18,2021-01-28 00:00:00+05:30,9.95,9.95,9.5,9.5,29872,ORIENTALTL
19,2021-01-29 00:00:00+05:30,9.9,9.9,9.05,9.15,16746,ORIENTALTL
20,2021-02-01 00:00:00+05:30,9.55,9.55,9.1,9.45,25119,ORIENTALTL
21,2021-02-02 00:00:00+05:30,9.25,9.75,9.25,9.5,83917,ORIENTALTL
22,2021-02-03 00:00:00+05:30,9.65,9.65,9.05,9.05,77922,ORIENTALTL
23,2021-02-04 00:00:00+05:30,9.3,9.35,8.9,9.25,130102,ORIENTALTL
24,2021-02-05 00:00:00+05:30,9.5,9.5,8.65,9.15,108194,ORIENTALTL
25,2021-02-08 00:00:00+05:30,9.1,9.2,8.8,9.1,201762,ORIENTALTL
26,2021-02-09 00:00:00+05:30,9.15,9.15,8.45,8.65,78158,ORIENTALTL
27,2021-02-10 00:00:00+05:30,8.85,9.5,8.55,8.75,337318,ORIENTALTL
28,2021-02-11 00:00:00+05:30,9.4,9.4,8.5,8.75,314052,ORIENTALTL
29,2021-02-12 00:00:00+05:30,8.9,9.0,8.3,8.45,160793,ORIENTALTL
30,2021-02-15 00:00:00+05:30,7.9,8.45,7.65,8.05,206540,ORIENTALTL
31,2021-02-16 00:00:00+05:30,7.65,8.15,7.65,7.75,97920,ORIENTALTL
32,2021-02-17 00:00:00+05:30,7.75,8.35,7.4,8.0,206701,ORIENTALTL
33,2021-02-18 00:00:00+05:30,7.85,8.55,7.65,8.0,389458,ORIENTALTL
34,2021-02-19 00:00:00+05:30,7.8,8.8,7.5,8.15,637789,ORIENTALTL
35,2021-02-22 00:00:00+05:30,8.35,8.35,7.5,7.85,234884,ORIENTALTL
36,2021-02-23 00:00:00+05:30,7.9,7.9,7.35,7.55,225688,ORIENTALTL
37,2021-02-24 00:00:00+05:30,7.5,7.6,6.8,6.9,1474796,ORIENTALTL
38,2021-02-25 00:00:00+05:30,7.0,7.35,6.9,7.1,996727,ORIENTALTL
39,2021-02-26 00:00:00+05:30,7.1,7.4,7.0,7.25,84682,ORIENTALTL
40,2021-03-01 00:00:00+05:30,7.4,7.55,7.2,7.2,84627,ORIENTALTL
41,2021-03-02 00:00:00+05:30,7.25,7.45,7.05,7.2,118940,ORIENTALTL
42,2021-03-03 00:00:00+05:30,7.35,7.35,7.0,7.05,107570,ORIENTALTL
43,2021-03-04 00:00:00+05:30,7.15,7.15,6.9,7.1,98745,ORIENTALTL
44,2021-03-05 00:00:00+05:30,7.1,7.15,6.85,7.0,104334,ORIENTALTL
45,2021-03-08 00:00:00+05:30,7.0,7.1,6.85,6.95,46999,ORIENTALTL
46,2021-03-09 00:00:00+05:30,7.0,7.05,6.7,7.0,615270,ORIENTALTL
47,2021-03-10 00:00:00+05:30,7.1,7.2,6.9,7.0,234603,ORIENTALTL
48,2021-03-12 00:00:00+05:30,7.0,7.55,7.0,7.3,49314,ORIENTALTL
49,2021-03-15 00:00:00+05:30,7.45,7.55,7.25,7.4,47648,ORIENTALTL
50,2021-03-16 00:00:00+05:30,7.5,7.5,7.2,7.3,67663,ORIENTALTL
51,2021-03-17 00:00:00+05:30,7.2,7.25,7.0,7.15,12180,ORIENTALTL
52,2021-03-18 00:00:00+05:30,7.2,7.2,6.75,7.0,36326,ORIENTALTL
53,2021-03-19 00:00:00+05:30,6.8,7.25,6.7,6.8,22733,ORIENTALTL
54,2021-03-22 00:00:00+05:30,6.85,7.05,6.6,6.65,33935,ORIENTALTL
55,2021-03-23 00:00:00+05:30,6.8,6.9,6.55,6.9,34299,ORIENTALTL
56,2021-03-24 00:00:00+05:30,6.9,6.95,6.25,6.4,44747,ORIENTALTL
