Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,8.08,8.08,8.08,8.08,8.08,8.08,10.0,10.0,10.0,10.0,ORIENTLTD
Reserves,48.72,54.04,54.12,54.85,56.01,59.85,71.98,71.52,69.18,65.94,ORIENTLTD
Borrowings,30.07,45.45,54.1,56.38,51.62,51.24,52.47,54.98,54.0,54.52,ORIENTLTD
Other Liabilities,26.18,30.51,35.36,37.24,35.9,49.4,58.18,63.44,60.79,49.01,ORIENTLTD
Total,113.05,138.08,151.66,156.55,151.61,168.57,192.63,199.94,193.97,179.47,ORIENTLTD
Net Block,38.54,45.22,52.12,46.67,48.64,50.18,64.09,67.83,64.63,59.61,ORIENTLTD
Capital Work in Progress,0.09,6.19,1.76,8.61,5.98,13.88,8.57,1.09,0.41,0.22,ORIENTLTD
Investments,0.86,0.86,0.86,0.85,0.85,1.59,1.59,1.71,1.71,1.74,ORIENTLTD
Other Assets,73.56,85.81,96.92,100.42,96.14,102.92,118.38,129.31,127.22,117.9,ORIENTLTD
Total,113.05,138.08,151.66,156.55,151.61,168.57,192.63,199.94,193.97,179.47,ORIENTLTD
Receivables,38.19,36.7,41.42,39.43,39.38,41.73,47.09,44.83,38.72,37.63,ORIENTLTD
Inventory,22.34,32.14,42.14,46.87,43.04,47.93,55.32,67.77,74.22,68.02,ORIENTLTD
Cash & Bank,3.3,3.08,2.31,2.18,4.2,2.81,3.45,3.03,3.17,3.22,ORIENTLTD
No. of Equity Shares,8075000.0,8075000.0,8075000.0,8075000.0,8075000.0,8075000.0,10000000.0,10000000.0,10000000.0,10000000.0,ORIENTLTD
New Bonus Shares,,,,,,,,,,,ORIENTLTD
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,ORIENTLTD
