,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,5.2,5.25,5.0,5.2,159189,PARSVNATH
1,2021-01-04 00:00:00+05:30,5.4,5.45,5.15,5.45,267691,PARSVNATH
2,2021-01-05 00:00:00+05:30,5.6,5.7,5.2,5.7,240174,PARSVNATH
3,2021-01-06 00:00:00+05:30,5.95,5.95,5.5,5.9,255746,PARSVNATH
4,2021-01-07 00:00:00+05:30,6.1,6.15,6.05,6.15,92061,PARSVNATH
5,2021-01-08 00:00:00+05:30,6.45,6.45,6.1,6.2,257375,PARSVNATH
6,2021-01-11 00:00:00+05:30,6.4,6.5,5.9,5.9,164642,PARSVNATH
7,2021-01-12 00:00:00+05:30,6.0,6.15,5.65,5.65,66875,PARSVNATH
8,2021-01-13 00:00:00+05:30,5.4,5.9,5.4,5.4,127682,PARSVNATH
9,2021-01-14 00:00:00+05:30,5.4,5.5,5.15,5.15,86990,PARSVNATH
10,2021-01-15 00:00:00+05:30,5.15,5.3,4.9,5.1,279589,PARSVNATH
11,2021-01-18 00:00:00+05:30,5.15,5.25,4.85,4.9,112516,PARSVNATH
12,2021-01-19 00:00:00+05:30,5.1,5.1,4.85,5.1,48537,PARSVNATH
13,2021-01-20 00:00:00+05:30,5.25,5.35,5.0,5.05,78104,PARSVNATH
14,2021-01-21 00:00:00+05:30,5.2,5.3,4.9,5.1,82974,PARSVNATH
15,2021-01-22 00:00:00+05:30,5.15,5.15,4.85,5.05,99102,PARSVNATH
16,2021-01-25 00:00:00+05:30,5.15,5.15,4.8,4.8,48538,PARSVNATH
17,2021-01-27 00:00:00+05:30,5.0,5.0,4.6,4.85,45309,PARSVNATH
18,2021-01-28 00:00:00+05:30,4.85,5.0,4.65,4.95,45234,PARSVNATH
19,2021-01-29 00:00:00+05:30,4.95,5.15,4.9,5.05,28636,PARSVNATH
20,2021-02-01 00:00:00+05:30,5.15,5.2,4.8,5.05,34083,PARSVNATH
21,2021-02-02 00:00:00+05:30,5.2,5.2,4.9,4.95,100988,PARSVNATH
22,2021-02-03 00:00:00+05:30,4.85,5.05,4.8,4.9,64965,PARSVNATH
23,2021-02-04 00:00:00+05:30,5.05,5.05,4.8,4.95,98215,PARSVNATH
24,2021-02-05 00:00:00+05:30,4.95,5.1,4.9,4.95,35420,PARSVNATH
25,2021-02-08 00:00:00+05:30,5.05,5.1,4.85,4.9,119402,PARSVNATH
26,2021-02-09 00:00:00+05:30,5.0,5.1,4.8,4.95,124270,PARSVNATH
27,2021-02-10 00:00:00+05:30,4.9,5.05,4.9,4.95,78705,PARSVNATH
28,2021-02-11 00:00:00+05:30,4.9,5.15,4.85,5.15,700954,PARSVNATH
29,2021-02-12 00:00:00+05:30,5.4,5.4,5.4,5.4,109243,PARSVNATH
30,2021-02-15 00:00:00+05:30,5.65,5.65,5.65,5.65,80064,PARSVNATH
31,2021-02-16 00:00:00+05:30,5.9,5.9,5.5,5.9,524802,PARSVNATH
32,2021-02-17 00:00:00+05:30,5.9,5.95,5.65,5.7,230717,PARSVNATH
33,2021-02-18 00:00:00+05:30,5.9,5.95,5.75,5.8,323506,PARSVNATH
34,2021-02-19 00:00:00+05:30,5.9,6.05,5.7,6.0,321114,PARSVNATH
35,2021-02-22 00:00:00+05:30,6.3,6.3,6.05,6.3,467958,PARSVNATH
36,2021-02-23 00:00:00+05:30,6.5,6.6,6.1,6.6,434125,PARSVNATH
37,2021-02-24 00:00:00+05:30,6.9,6.9,6.65,6.9,197724,PARSVNATH
38,2021-02-25 00:00:00+05:30,7.2,7.2,7.2,7.2,140232,PARSVNATH
39,2021-02-26 00:00:00+05:30,7.55,7.55,7.55,7.55,207909,PARSVNATH
40,2021-03-01 00:00:00+05:30,7.9,7.9,7.9,7.9,183261,PARSVNATH
41,2021-03-02 00:00:00+05:30,8.25,8.25,8.25,8.25,74688,PARSVNATH
42,2021-03-03 00:00:00+05:30,8.65,8.65,7.9,8.65,2056976,PARSVNATH
43,2021-03-04 00:00:00+05:30,8.3,9.05,8.25,9.05,1220500,PARSVNATH
44,2021-03-05 00:00:00+05:30,9.1,9.5,8.7,8.9,2322525,PARSVNATH
45,2021-03-08 00:00:00+05:30,8.6,9.3,8.6,8.7,545908,PARSVNATH
46,2021-03-09 00:00:00+05:30,8.7,9.0,8.3,8.5,680014,PARSVNATH
47,2021-03-10 00:00:00+05:30,8.35,8.9,8.35,8.9,272684,PARSVNATH
48,2021-03-12 00:00:00+05:30,9.3,9.3,9.1,9.2,165504,PARSVNATH
49,2021-03-15 00:00:00+05:30,9.55,9.65,8.9,9.55,275793,PARSVNATH
50,2021-03-16 00:00:00+05:30,9.8,10.0,9.25,10.0,517484,PARSVNATH
51,2021-03-17 00:00:00+05:30,10.0,10.5,10.0,10.45,364869,PARSVNATH
52,2021-03-18 00:00:00+05:30,10.85,10.95,10.15,10.75,429118,PARSVNATH
53,2021-03-19 00:00:00+05:30,10.5,11.2,10.25,10.35,764273,PARSVNATH
54,2021-03-22 00:00:00+05:30,10.6,10.8,9.85,9.85,367995,PARSVNATH
55,2021-03-23 00:00:00+05:30,9.5,10.3,9.4,9.4,419675,PARSVNATH
56,2021-03-24 00:00:00+05:30,9.4,9.4,8.95,8.95,145666,PARSVNATH
57,2021-03-25 00:00:00+05:30,8.55,9.35,8.55,9.3,214834,PARSVNATH
58,2021-03-26 00:00:00+05:30,8.85,9.7,8.85,8.85,138233,PARSVNATH
59,2021-03-30 00:00:00+05:30,8.55,9.2,8.5,8.75,180421,PARSVNATH
60,2021-03-31 00:00:00+05:30,8.6,8.8,8.4,8.55,72474,PARSVNATH
61,2021-04-01 00:00:00+05:30,8.75,8.95,8.3,8.95,95727,PARSVNATH
62,2021-04-05 00:00:00+05:30,9.2,9.2,8.65,9.0,34066,PARSVNATH
63,2021-04-06 00:00:00+05:30,9.0,9.4,8.7,9.0,84586,PARSVNATH
64,2021-04-07 00:00:00+05:30,8.85,9.4,8.7,8.85,63479,PARSVNATH
65,2021-04-08 00:00:00+05:30,8.5,9.1,8.5,8.8,89735,PARSVNATH
66,2021-04-09 00:00:00+05:30,8.85,8.9,8.55,8.75,30246,PARSVNATH
67,2021-04-12 00:00:00+05:30,8.5,8.55,8.35,8.35,50991,PARSVNATH
68,2021-04-13 00:00:00+05:30,8.35,8.35,7.95,8.0,88331,PARSVNATH
69,2021-04-15 00:00:00+05:30,7.6,8.4,7.6,8.0,113467,PARSVNATH
70,2021-04-16 00:00:00+05:30,7.9,8.4,7.6,8.0,98841,PARSVNATH
71,2021-04-19 00:00:00+05:30,8.0,8.0,7.6,7.65,66530,PARSVNATH
72,2021-04-20 00:00:00+05:30,7.8,7.8,7.3,7.45,59251,PARSVNATH
73,2021-04-22 00:00:00+05:30,7.45,7.65,7.1,7.25,30726,PARSVNATH
74,2021-04-23 00:00:00+05:30,7.5,7.5,7.0,7.45,38021,PARSVNATH
75,2021-04-26 00:00:00+05:30,7.15,7.65,7.15,7.6,38807,PARSVNATH
76,2021-04-27 00:00:00+05:30,7.6,7.95,7.5,7.95,82506,PARSVNATH
