Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,46.23,46.99,55.32,57.53,60.43,60.48,PAYTM
Reserves,,,,,2770.71,2328.64,7520.18,5978.5,8351.02,6923.83,PAYTM
Borrowings,,,,,14.98,90.27,241.65,722.46,405.09,588.35,PAYTM
Other Liabilities,,,,,630.19,1422.38,739.12,1924.64,1690.48,1906.91,PAYTM
Total,,,,,3462.11,3888.28,8556.27,8683.13,10507.02,9479.57,PAYTM
Net Block,,,,,77.55,141.21,166.1,286.14,507.63,390.43,PAYTM
Capital Work in Progress,,,,,57.5,71.89,19.52,50.8,11.89,22.7,PAYTM
Investments,,,,,2363.47,971.88,5187.52,3440.38,4211.8,1299.27,PAYTM
Other Assets,,,,,963.59,2703.3,3183.13,4905.81,5775.7,7767.17,PAYTM
Total,,,,,3462.11,3888.28,8556.27,8683.13,10507.02,9479.57,PAYTM
Receivables,,,,,107.85,92.71,504.76,242.21,327.5,372.77,PAYTM
Inventory,,,,,,,,,,,PAYTM
Cash & Bank,,,,,245.4,556.97,286.92,241.43,369.36,2572.55,PAYTM
No. of Equity Shares,,,,,46232832.0,46990653.0,55325271.0,57530000.0,60435025.0,60482404.0,PAYTM
New Bonus Shares,,,,,,,,,,,PAYTM
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,PAYTM
