Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,2816.32,3331.69,3878.24,4398.08,4731.03,4865.37,5354.4,6093.88,6332.59,6216.33,PIDILITIND
Raw Material Cost,1264.22,1469.02,1724.85,1937.18,2264.18,2270.04,2546.41,3138.23,2908.41,2923.52,PIDILITIND
Change in Inventory,27.92,32.18,42.26,6.78,-18.04,7.9,8.48,73.81,-27.98,89.77,PIDILITIND
Power and Fuel,31.19,39.16,43.44,50.68,44.51,49.38,55.6,61.73,61.78,63.63,PIDILITIND
Other Mfr. Exp,532.69,616.49,707.81,799.28,322.31,50.73,104.14,113.51,151.55,147.01,PIDILITIND
Employee Cost,261.21,301.14,364.99,414.46,457.28,507.66,571.13,663.83,737.16,788.36,PIDILITIND
Selling and admin,186.23,248.48,307.86,335.27,361.17,636.31,671.99,745.53,788.77,653.53,PIDILITIND
Other Expenses,80.69,80.23,98.3,107.04,168.72,132.25,120.55,150.77,173.38,176.52,PIDILITIND
Other Income,28.54,71.48,36.07,24.82,68.34,13.74,135.76,189.33,92.58,67.19,PIDILITIND
Depreciation,47.93,53.24,68.63,107.72,87.82,90.24,91.48,99.83,125.79,147.1,PIDILITIND
Interest,24.5,8.02,9.69,9.51,5.84,5.68,6.06,7.14,13.4,16.99,PIDILITIND
Profit before tax,444.12,619.57,631.0,668.54,1069.5,1144.72,1331.28,1376.45,1436.95,1456.63,PIDILITIND
Tax,109.61,158.81,162.39,166.68,322.78,370.93,376.09,397.01,335.33,375.17,PIDILITIND
Net profit,334.51,460.76,468.61,501.86,746.72,773.79,955.19,979.44,1101.62,1081.46,PIDILITIND
