Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,339.18,353.47,362.07,370.91,392.72,425.59,552.11,920.81,1347.51,2095.54,PNB
Reserves,27476.24,32323.43,35533.25,38708.61,37917.42,41671.87,40522.19,43866.32,61009.97,88841.77,PNB
Borrowings,416852.75,431180.98,499431.16,547049.19,612806.37,662467.36,703076.94,715356.06,754071.75,1149172.78,PNB
Other Liabilities,13524.18,15089.85,15093.44,17204.89,16273.94,15765.73,21678.87,14806.28,14236.69,20522.52,PNB
Total,458192.35,478947.73,550419.92,603333.6,667390.45,720330.55,765830.11,774949.47,830665.92,1260632.61,PNB
Net Block,3168.86,3357.68,3419.74,3551.48,5222.73,6273.25,6349.33,6224.85,7239.07,11020.9,PNB
Capital Work in Progress,,,,,,,,,,,PNB
Investments,122703.02,129896.19,143785.5,149876.95,157845.89,186725.44,200305.98,202128.22,240465.64,392983.25,PNB
Other Assets,332320.47,345693.86,403214.68,449905.17,504321.83,527331.86,559174.8,566596.4,582961.21,856628.46,PNB
Total,458192.35,478947.73,550419.92,603333.6,667390.45,720330.55,765830.11,774949.47,830665.92,1260632.61,PNB
Receivables,,,,,,,,,,,PNB
Inventory,,,,,,,,,,,PNB
Cash & Bank,28828.04,27135.38,45218.45,55934.17,75623.09,88331.65,95462.0,75288.04,75993.03,111349.7,PNB
No. of Equity Shares,339178683.0,353473396.0,362069926.0,1854556947.0,1963597490.0,2127968258.0,2760573227.0,4604047028.0,6737565988.0,10477682225.0,PNB
New Bonus Shares,,,,,,,,,,,PNB
Face value,10.0,10.0,10.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,PNB
