Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,77.51,136.92,81.85,55.78,72.67,52.25,36.62,46.79,49.31,38.67,PRAENG
Raw Material Cost,,,,,,,,,,,PRAENG
Change in Inventory,,,,,,,,,,,PRAENG
Power and Fuel,3.25,3.23,4.01,3.49,2.65,2.46,2.13,1.99,1.89,0.98,PRAENG
Other Mfr. Exp,54.44,109.93,73.47,44.13,58.44,41.98,27.19,35.54,39.09,28.44,PRAENG
Employee Cost,7.98,9.35,6.15,5.89,6.17,5.66,4.22,3.81,3.21,1.27,PRAENG
Selling and admin,12.55,12.51,7.73,9.09,4.15,4.41,4.77,4.54,3.03,1.3,PRAENG
Other Expenses,-6.61,-7.56,-1.32,5.66,10.5,,-0.14,,-0.01,0.01,PRAENG
Other Income,1.52,1.2,4.55,0.68,7.63,4.49,6.32,4.8,3.36,1.06,PRAENG
Depreciation,3.86,3.23,3.47,6.08,6.16,5.51,4.9,4.18,4.07,3.95,PRAENG
Interest,2.76,1.94,0.87,5.8,14.45,15.92,18.56,15.41,5.12,5.94,PRAENG
Profit before tax,0.8,5.49,-7.98,-23.68,-22.22,-19.2,-18.69,-13.88,-3.73,-2.16,PRAENG
Tax,6.58,3.5,-5.95,-0.08,2.5,2.08,0.78,-0.91,0.9,0.74,PRAENG
Net profit,-5.78,1.99,-2.03,-23.6,-24.72,-21.28,-19.48,-12.97,-4.63,-2.9,PRAENG
