,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,55.4,58.7,55.4,57.5,3021608,PRAKASH
1,2021-01-04 00:00:00+05:30,58.4,63.95,58.1,63.3,4536125,PRAKASH
2,2021-01-05 00:00:00+05:30,63.5,65.45,59.85,60.45,2724400,PRAKASH
3,2021-01-06 00:00:00+05:30,60.95,62.7,58.6,60.4,1673550,PRAKASH
4,2021-01-07 00:00:00+05:30,60.7,62.6,60.6,61.65,2009500,PRAKASH
5,2021-01-08 00:00:00+05:30,62.65,63.5,61.0,61.35,1590303,PRAKASH
6,2021-01-11 00:00:00+05:30,61.4,61.75,57.2,59.05,1065107,PRAKASH
7,2021-01-12 00:00:00+05:30,59.0,60.8,58.3,59.2,909713,PRAKASH
8,2021-01-13 00:00:00+05:30,59.6,60.7,57.25,58.55,771523,PRAKASH
9,2021-01-14 00:00:00+05:30,58.45,60.9,57.3,59.15,777951,PRAKASH
10,2021-01-15 00:00:00+05:30,59.8,61.2,58.1,59.7,1197397,PRAKASH
11,2021-01-18 00:00:00+05:30,59.6,59.85,55.15,56.4,796441,PRAKASH
12,2021-01-19 00:00:00+05:30,57.05,58.4,57.05,57.25,385198,PRAKASH
13,2021-01-20 00:00:00+05:30,57.25,58.9,57.05,57.8,553818,PRAKASH
14,2021-01-21 00:00:00+05:30,57.9,58.45,55.15,55.65,1012853,PRAKASH
15,2021-01-22 00:00:00+05:30,55.55,56.4,52.6,53.55,1880202,PRAKASH
16,2021-01-25 00:00:00+05:30,53.75,54.4,50.75,51.9,1063145,PRAKASH
17,2021-01-27 00:00:00+05:30,51.9,52.8,50.15,51.35,927769,PRAKASH
18,2021-01-28 00:00:00+05:30,51.35,53.7,50.75,52.75,398739,PRAKASH
19,2021-01-29 00:00:00+05:30,53.85,53.9,50.8,51.2,362564,PRAKASH
20,2021-02-01 00:00:00+05:30,51.0,53.85,50.55,53.5,620942,PRAKASH
21,2021-02-02 00:00:00+05:30,53.7,54.35,52.05,52.35,602259,PRAKASH
22,2021-02-03 00:00:00+05:30,52.65,56.9,52.25,55.75,1363267,PRAKASH
23,2021-02-04 00:00:00+05:30,55.8,57.2,55.15,55.75,634015,PRAKASH
24,2021-02-05 00:00:00+05:30,55.75,56.65,54.75,55.7,544554,PRAKASH
25,2021-02-08 00:00:00+05:30,56.4,58.35,47.1,49.2,4031827,PRAKASH
26,2021-02-09 00:00:00+05:30,51.45,52.1,49.5,50.05,1170309,PRAKASH
27,2021-02-10 00:00:00+05:30,50.3,50.9,49.0,49.25,498339,PRAKASH
28,2021-02-11 00:00:00+05:30,49.3,52.75,49.2,51.8,1436037,PRAKASH
29,2021-02-12 00:00:00+05:30,52.05,52.35,51.0,51.2,372594,PRAKASH
30,2021-02-15 00:00:00+05:30,51.5,51.8,49.4,49.7,590217,PRAKASH
31,2021-02-16 00:00:00+05:30,49.75,51.0,49.1,49.95,1349392,PRAKASH
32,2021-02-17 00:00:00+05:30,49.85,50.95,49.1,49.9,835220,PRAKASH
33,2021-02-18 00:00:00+05:30,50.4,50.8,49.55,50.25,678759,PRAKASH
34,2021-02-19 00:00:00+05:30,50.35,56.8,49.75,54.0,2847626,PRAKASH
35,2021-02-22 00:00:00+05:30,54.6,55.4,52.0,52.45,1162805,PRAKASH
36,2021-02-23 00:00:00+05:30,52.35,54.2,52.35,53.25,581864,PRAKASH
37,2021-02-24 00:00:00+05:30,53.85,55.5,53.65,54.35,535706,PRAKASH
38,2021-02-25 00:00:00+05:30,54.95,55.45,54.35,54.85,795840,PRAKASH
39,2021-02-26 00:00:00+05:30,54.0,54.8,52.35,52.8,803979,PRAKASH
40,2021-03-01 00:00:00+05:30,53.0,54.95,52.7,53.15,1022654,PRAKASH
41,2021-03-02 00:00:00+05:30,54.6,63.75,54.25,63.05,8857999,PRAKASH
42,2021-03-03 00:00:00+05:30,65.0,65.5,60.05,60.9,3087863,PRAKASH
43,2021-03-04 00:00:00+05:30,60.0,62.35,58.0,58.65,2005556,PRAKASH
44,2021-03-05 00:00:00+05:30,58.9,59.95,54.75,55.15,1522618,PRAKASH
45,2021-03-08 00:00:00+05:30,56.85,63.25,56.85,61.9,4425670,PRAKASH
46,2021-03-09 00:00:00+05:30,62.6,70.35,62.4,64.0,10998483,PRAKASH
47,2021-03-10 00:00:00+05:30,64.8,65.85,62.3,63.5,2259349,PRAKASH
48,2021-03-12 00:00:00+05:30,64.4,68.95,62.85,65.6,4411807,PRAKASH
49,2021-03-15 00:00:00+05:30,65.95,69.25,64.3,66.7,3626955,PRAKASH
50,2021-03-16 00:00:00+05:30,67.2,74.4,67.15,71.45,7962454,PRAKASH
51,2021-03-17 00:00:00+05:30,71.55,72.4,65.5,66.85,2460855,PRAKASH
52,2021-03-18 00:00:00+05:30,69.0,71.0,65.95,67.1,3390768,PRAKASH
53,2021-03-19 00:00:00+05:30,66.4,68.45,62.85,67.15,1934111,PRAKASH
54,2021-03-22 00:00:00+05:30,67.15,70.9,66.15,67.15,1970525,PRAKASH
55,2021-03-23 00:00:00+05:30,67.7,69.35,65.35,66.3,1630869,PRAKASH
56,2021-03-24 00:00:00+05:30,67.0,68.25,63.2,64.0,1157748,PRAKASH
57,2021-03-25 00:00:00+05:30,64.1,64.5,59.5,61.95,1743082,PRAKASH
58,2021-03-26 00:00:00+05:30,63.3,66.45,62.7,65.1,1804314,PRAKASH
59,2021-03-30 00:00:00+05:30,66.4,67.5,65.75,65.95,1232650,PRAKASH
60,2021-03-31 00:00:00+05:30,66.45,77.45,65.4,74.2,8959992,PRAKASH
61,2021-04-01 00:00:00+05:30,74.8,83.1,73.2,81.4,8228749,PRAKASH
62,2021-04-05 00:00:00+05:30,82.75,84.4,77.6,83.2,6147352,PRAKASH
63,2021-04-06 00:00:00+05:30,83.7,84.7,81.0,82.2,2999199,PRAKASH
