Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,151.82,169.09,160.81,222.97,262.1,277.94,284.98,315.69,305.85,345.01,RAMCOSYS
Raw Material Cost,2.94,5.99,2.03,0.96,2.31,0.72,0.7,0.24,0.66,4.63,RAMCOSYS
Change in Inventory,1.59,-1.68,,-0.01,0.21,-0.21,0.02,,,,RAMCOSYS
Power and Fuel,1.2,1.66,1.28,1.15,1.29,2.86,2.94,2.76,2.56,1.67,RAMCOSYS
Other Mfr. Exp,13.02,12.92,10.67,16.02,20.82,26.84,22.05,27.11,27.86,25.84,RAMCOSYS
Employee Cost,71.8,88.83,74.28,92.42,113.86,105.97,93.17,109.31,121.73,131.74,RAMCOSYS
Selling and admin,38.85,40.44,43.04,40.32,47.75,42.54,46.45,48.91,37.55,28.91,RAMCOSYS
Other Expenses,3.99,3.35,5.48,14.95,8.99,51.08,-2.53,8.86,-3.64,9.36,RAMCOSYS
Other Income,5.5,5.56,5.51,1.43,2.69,9.65,12.96,8.68,13.84,9.24,RAMCOSYS
Depreciation,27.34,32.4,37.12,44.45,45.46,46.43,48.69,49.45,60.61,62.95,RAMCOSYS
Interest,2.73,6.19,11.7,12.19,3.69,1.73,1.69,4.19,11.08,7.91,RAMCOSYS
Profit before tax,-2.96,-18.81,-19.28,1.93,20.83,9.21,84.8,73.54,61.28,81.24,RAMCOSYS
Tax,,,,0.38,6.51,-41.46,18.97,21.65,36.39,37.02,RAMCOSYS
Net profit,-2.96,-18.81,-19.28,1.56,14.31,50.68,65.84,51.89,24.89,44.23,RAMCOSYS
