Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,12.01,RHIM
Reserves,63.04,90.37,125.65,157.79,192.64,261.26,310.8,364.22,687.58,789.39,RHIM
Borrowings,15.86,5.03,5.72,5.24,,,,,70.61,62.14,RHIM
Other Liabilities,55.17,63.05,74.18,78.61,101.35,86.94,125.84,131.85,281.21,395.33,RHIM
Total,146.08,170.46,217.56,253.65,306.0,360.21,448.65,508.08,1051.41,1258.87,RHIM
Net Block,27.09,29.29,30.45,33.23,38.29,37.25,40.17,60.0,223.0,238.79,RHIM
Capital Work in Progress,0.23,0.49,1.52,3.96,1.57,4.67,14.01,2.72,8.59,46.26,RHIM
Investments,0.01,6.01,0.01,0.01,0.01,,107.68,103.16,10.13,10.13,RHIM
Other Assets,118.75,134.67,185.58,216.45,266.13,318.29,286.79,342.2,809.69,963.69,RHIM
Total,146.08,170.46,217.56,253.65,306.0,360.21,448.65,508.08,1051.41,1258.87,RHIM
Receivables,61.96,71.52,99.4,112.69,118.5,113.99,159.43,157.43,332.28,327.38,RHIM
Inventory,45.63,56.98,63.32,71.56,64.22,81.38,91.06,117.44,277.44,352.59,RHIM
Cash & Bank,1.32,1.19,17.99,26.13,76.47,110.84,12.72,27.87,121.04,154.0,RHIM
No. of Equity Shares,120139200.0,120139000.0,120139200.0,120139200.0,120139200.0,120139200.0,120139200.0,120139200.0,120139200.0,120139200.0,RHIM
New Bonus Shares,,,,,,,,,,,RHIM
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,RHIM
