Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,2011-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,121.69,178.08,233.38,291.79,515.92,600.09,690.41,ROSSARI
Raw Material Cost,,,,90.14,123.88,165.85,197.09,355.23,369.26,458.86,ROSSARI
Change in Inventory,,,,,-6.53,0.51,0.64,15.96,-2.44,7.22,ROSSARI
Power and Fuel,,,,0.21,0.79,0.92,0.85,1.26,1.74,2.4,ROSSARI
Other Mfr. Exp,,,,1.19,3.32,3.42,5.03,27.82,26.64,25.91,ROSSARI
Employee Cost,,,,4.84,11.44,15.38,19.53,27.42,37.13,36.66,ROSSARI
Selling and admin,,,,8.67,6.25,23.16,23.69,38.06,50.71,44.77,ROSSARI
Other Expenses,,,,3.44,13.57,0.66,1.26,4.45,7.1,8.18,ROSSARI
Other Income,,,,0.36,0.44,0.62,0.91,1.27,3.57,10.21,ROSSARI
Depreciation,,,,4.67,4.5,4.27,5.1,12.19,16.85,22.07,ROSSARI
Interest,,,,3.14,3.43,2.12,1.36,3.27,3.68,2.99,ROSSARI
Profit before tax,,,,5.75,4.81,18.73,39.43,63.45,88.11,106.0,ROSSARI
Tax,,,,0.64,1.38,3.13,10.51,17.66,22.58,26.9,ROSSARI
Net profit,,,,5.1,3.42,15.59,28.92,45.79,65.52,79.1,ROSSARI
