Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,698.79,816.42,894.1,969.07,1013.03,1084.3,1089.76,1108.24,941.4,1261.22,RUPA
Raw Material Cost,409.65,486.9,473.61,536.72,429.9,479.57,507.5,517.09,460.26,479.69,RUPA
Change in Inventory,33.05,59.71,7.61,73.68,-55.29,-14.58,8.21,52.97,83.33,-90.19,RUPA
Power and Fuel,7.77,10.01,9.95,11.74,11.0,12.37,14.24,14.66,13.71,14.0,RUPA
Other Mfr. Exp,128.85,142.48,149.17,200.29,199.97,229.04,229.87,265.75,235.62,248.41,RUPA
Employee Cost,8.32,12.17,14.9,26.19,29.89,35.4,39.35,45.92,55.79,48.81,RUPA
Selling and admin,85.23,97.45,115.18,124.08,143.94,152.81,129.5,135.2,121.34,109.58,RUPA
Other Expenses,5.29,8.81,14.48,9.81,11.56,19.41,11.45,12.62,13.4,12.76,RUPA
Other Income,0.65,0.71,7.01,4.95,15.92,3.39,3.39,5.34,7.91,6.0,RUPA
Depreciation,6.06,6.63,11.18,15.06,15.17,15.05,14.41,13.17,15.68,11.32,RUPA
Interest,21.14,20.89,24.52,23.38,18.76,10.55,7.59,16.73,14.81,9.44,RUPA
Profit before tax,60.18,91.5,95.73,100.43,113.47,118.91,147.45,145.41,102.03,243.02,RUPA
Tax,18.66,29.74,33.68,34.73,35.52,41.76,52.84,52.03,21.97,62.12,RUPA
Net profit,41.52,61.76,62.06,65.71,77.95,77.15,94.61,93.37,80.07,180.9,RUPA
