Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,15.04,15.09,15.17,17.15,17.15,17.16,17.16,17.16,17.16,17.16,SADBHAV
Reserves,747.27,817.42,918.91,1334.91,1472.06,1643.74,1849.63,2016.51,2086.83,2128.22,SADBHAV
Borrowings,448.81,762.99,1025.71,1098.37,1221.24,1777.12,1484.68,1587.32,1272.96,1332.37,SADBHAV
Other Liabilities,928.3,895.33,1065.64,1074.51,784.61,582.29,1019.18,976.73,1258.89,1103.15,SADBHAV
Total,2139.42,2490.83,3025.43,3524.94,3495.06,4020.31,4370.65,4597.72,4635.84,4580.9,SADBHAV
Net Block,288.07,330.26,498.19,535.72,593.05,515.93,500.42,493.91,430.35,292.03,SADBHAV
Capital Work in Progress,,,,,,6.95,2.35,3.26,3.77,3.77,SADBHAV
Investments,332.28,538.45,521.0,531.26,562.92,569.41,577.46,609.37,558.01,566.75,SADBHAV
Other Assets,1519.07,1622.12,2006.24,2457.96,2339.09,2928.02,3290.42,3491.18,3643.71,3718.35,SADBHAV
Total,2139.42,2490.83,3025.43,3524.94,3495.06,4020.31,4370.65,4597.72,4635.84,4580.9,SADBHAV
Receivables,747.42,736.49,731.87,906.75,999.4,1665.1,1592.18,1555.1,252.7,415.0,SADBHAV
Inventory,88.39,102.19,163.82,213.37,140.62,123.36,164.25,179.17,147.25,139.11,SADBHAV
Cash & Bank,56.34,21.76,76.17,35.11,16.55,22.96,12.68,60.37,123.14,9.57,SADBHAV
No. of Equity Shares,150367800.0,150945800.0,151662300.0,171500800.0,171533800.0,171570800.0,171570800.0,171570800.0,171570800.0,171570800.0,SADBHAV
New Bonus Shares,,,,,,,,,,,SADBHAV
Face value,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,SADBHAV
