Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,4.88,4.88,4.88,4.98,4.98,9.96,13.29,13.29,13.29,14.29,SALASAR
Reserves,43.13,46.18,51.68,57.47,67.67,81.79,145.71,175.85,193.26,237.49,SALASAR
Borrowings,31.44,29.56,53.94,47.2,44.5,53.9,109.22,150.54,164.74,194.97,SALASAR
Other Liabilities,19.45,30.87,56.24,36.06,36.88,83.84,100.11,131.83,81.62,96.27,SALASAR
Total,98.9,111.49,166.74,145.71,154.03,229.49,368.33,471.51,452.91,543.02,SALASAR
Net Block,8.18,8.75,22.25,23.99,24.42,27.36,71.71,77.3,91.08,112.54,SALASAR
Capital Work in Progress,,,,,,,1.08,,0.34,0.09,SALASAR
Investments,18.41,18.41,18.41,18.13,19.64,19.15,0.41,2.06,1.41,10.25,SALASAR
Other Assets,72.31,84.33,126.08,103.59,109.97,182.98,295.13,392.15,360.08,420.14,SALASAR
Total,98.9,111.49,166.74,145.71,154.03,229.49,368.33,471.51,452.91,543.02,SALASAR
Receivables,30.59,37.31,54.22,38.92,56.89,77.66,151.62,216.61,215.24,234.92,SALASAR
Inventory,25.72,31.9,38.96,44.21,41.42,61.08,89.01,117.93,93.54,118.18,SALASAR
Cash & Bank,1.36,1.81,3.67,2.36,2.06,5.78,15.09,11.73,9.06,5.0,SALASAR
No. of Equity Shares,4875750.0,4875750.0,4875750.0,4978150.0,4978150.0,9956300.0,13285264.0,13285264.0,13285264.0,14285264.0,SALASAR
New Bonus Shares,,,,,,,,,,,SALASAR
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SALASAR
