Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,,,,,616.83,761.34,960.5,1103.57,805.17,SAPPHIRE
Raw Material Cost,,,,,,212.21,253.1,315.23,353.32,242.5,SAPPHIRE
Change in Inventory,,,,,,,,,,,SAPPHIRE
Power and Fuel,,,,,,57.86,63.23,75.55,83.2,56.44,SAPPHIRE
Other Mfr. Exp,,,,,,20.38,25.86,22.03,63.37,50.33,SAPPHIRE
Employee Cost,,,,,,122.56,141.0,158.43,179.84,148.39,SAPPHIRE
Selling and admin,,,,,,204.12,262.04,185.24,246.43,197.88,SAPPHIRE
Other Expenses,,,,,,33.8,16.53,184.61,30.74,19.42,SAPPHIRE
Other Income,,,,,,22.51,3.33,9.11,-69.79,53.25,SAPPHIRE
Depreciation,,,,,,49.09,39.9,54.53,155.57,174.45,SAPPHIRE
Interest,,,,,,1.29,1.41,16.04,60.22,65.71,SAPPHIRE
Profit before tax,,,,,,-61.97,-38.4,-42.05,-138.91,-96.7,SAPPHIRE
Tax,,,,,,-2.27,-2.49,,,,SAPPHIRE
Net profit,,,,,,-59.71,-35.91,-42.05,-138.91,-96.7,SAPPHIRE
