Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,111.35,331.35,331.35,331.35,331.35,331.35,331.35,331.35,331.35,33.13,SELMC
Reserves,962.03,1082.66,849.1,756.57,390.42,-129.2,-2365.42,-2600.89,-5149.08,383.03,SELMC
Borrowings,2483.56,3121.34,3467.7,3970.8,4241.06,4152.34,6099.9,6087.2,4608.11,957.71,SELMC
Other Liabilities,363.9,579.6,461.39,430.68,368.92,390.73,308.18,309.15,1804.99,118.42,SELMC
Total,3920.84,5114.95,5109.54,5489.4,5331.75,4745.22,4374.01,4126.81,1595.37,1492.29,SELMC
Net Block,1355.67,2521.83,2323.05,2123.2,1837.87,1756.0,1615.15,1506.49,1398.9,1281.44,SELMC
Capital Work in Progress,550.84,24.25,164.0,178.64,185.3,163.12,169.86,169.4,42.46,42.46,SELMC
Investments,185.72,556.45,558.0,560.46,235.37,9.0,2021.24,2022.21,1.33,1.75,SELMC
Other Assets,1828.61,2012.42,2064.49,2627.1,3073.21,2817.1,567.76,428.71,152.68,166.64,SELMC
Total,3920.84,5114.95,5109.54,5489.4,5331.75,4745.22,4374.01,4126.81,1595.37,1492.29,SELMC
Receivables,631.92,552.23,816.81,741.98,899.48,999.92,135.52,42.63,71.11,62.54,SELMC
Inventory,616.52,1075.31,709.98,1213.93,1390.52,844.25,68.13,58.99,27.42,22.61,SELMC
Cash & Bank,73.21,24.67,13.33,46.85,36.55,8.94,3.22,5.08,2.16,12.44,SELMC
No. of Equity Shares,111347000.0,331347000.0,331347000.0,331347000.0,331347000.0,331347000.0,331347000.0,331347000.0,,,SELMC
New Bonus Shares,,,,,,,,,,,SELMC
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,SELMC
