Report Date,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,2011-03-31 00:00:00,2012-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,,,,,0.01,5.0,10.35,14.13,14.13,14.13,SGIL
Reserves,,,,,,,-12.09,13.26,16.59,20.29,SGIL
Borrowings,,,,,0.08,25.2,41.71,50.71,48.24,60.61,SGIL
Other Liabilities,,,,,1.97,11.37,68.39,66.41,67.37,74.55,SGIL
Total,,,,,2.06,41.57,108.36,144.51,146.33,169.58,SGIL
Net Block,,,,,,1.5,33.22,32.81,57.8,62.46,SGIL
Capital Work in Progress,,,,,0.5,37.0,0.45,4.3,0.87,3.03,SGIL
Investments,,,,,,,,,,,SGIL
Other Assets,,,,,1.56,3.07,74.69,107.4,87.66,104.09,SGIL
Total,,,,,2.06,41.57,108.36,144.51,146.33,169.58,SGIL
Receivables,,,,,,,17.98,29.27,16.71,26.86,SGIL
Inventory,,,,,,,37.65,48.09,46.43,53.0,SGIL
Cash & Bank,,,,,0.25,0.49,2.51,13.26,3.56,3.95,SGIL
No. of Equity Shares,,,,,10000.0,5000000.0,10350000.0,14130000.0,14130000.0,14130000.0,SGIL
New Bonus Shares,,,,,,,,,,,SGIL
Face value,,,,,10.0,10.0,10.0,10.0,10.0,10.0,SGIL
