Report Date,Unnamed: 1,2011-03-31 00:00:00,2012-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,,22.12,29.22,65.25,70.55,82.51,89.22,116.17,134.17,140.63,SIRCA
Raw Material Cost,,,,48.44,51.78,53.02,49.84,79.6,91.8,93.44,SIRCA
Change in Inventory,,,,-1.54,2.51,4.09,4.71,11.92,20.99,9.24,SIRCA
Power and Fuel,,,,0.07,0.09,0.11,0.2,0.23,0.39,0.46,SIRCA
Other Mfr. Exp,,,,0.31,0.38,0.87,1.71,0.8,1.15,1.31,SIRCA
Employee Cost,,,,1.97,2.62,3.76,5.72,8.89,13.86,15.95,SIRCA
Selling and admin,,,,6.59,8.16,7.89,9.91,6.12,15.16,16.14,SIRCA
Other Expenses,,20.37,27.23,0.64,0.37,0.7,0.58,0.59,1.73,10.32,SIRCA
Other Income,,,,4.46,2.12,1.83,4.35,6.18,5.61,14.15,SIRCA
Depreciation,,,,0.46,0.51,0.4,0.6,0.93,2.4,3.64,SIRCA
Interest,,,,0.23,0.13,0.13,0.18,0.12,0.1,0.18,SIRCA
Profit before tax,,1.75,1.99,9.46,11.14,21.55,29.54,36.99,34.18,22.58,SIRCA
Tax,,0.63,0.64,3.28,3.86,7.85,10.15,11.09,9.02,5.99,SIRCA
Net profit,,1.12,1.35,6.18,7.28,13.7,19.39,25.9,25.16,16.61,SIRCA
