Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,228.27,272.93,275.02,271.29,272.45,324.18,346.58,377.75,340.95,233.37,STARPAPER
Raw Material Cost,94.04,111.79,142.29,120.36,108.27,102.76,111.74,135.88,139.16,88.23,STARPAPER
Change in Inventory,0.19,-0.41,-2.81,-1.51,-1.21,-3.17,0.13,-0.62,9.57,-6.71,STARPAPER
Power and Fuel,89.21,81.02,80.68,73.67,64.32,71.27,84.75,110.09,85.12,50.99,STARPAPER
Other Mfr. Exp,44.38,54.76,15.12,15.22,18.48,22.59,25.19,25.31,27.14,20.41,STARPAPER
Employee Cost,24.01,26.21,25.65,27.21,26.17,29.18,28.21,28.23,27.99,22.64,STARPAPER
Selling and admin,7.12,5.32,2.22,1.64,7.8,7.78,5.27,7.11,9.37,12.32,STARPAPER
Other Expenses,8.4,10.06,14.33,16.89,19.59,16.53,19.27,21.22,13.69,10.86,STARPAPER
Other Income,11.0,0.9,-2.37,0.94,0.93,2.08,5.04,7.28,6.91,9.49,STARPAPER
Depreciation,11.47,11.26,11.09,4.86,4.25,4.12,4.07,4.39,5.16,5.23,STARPAPER
Interest,3.23,4.56,4.57,3.36,2.55,1.27,1.05,0.65,0.65,0.58,STARPAPER
Profit before tax,-42.4,-31.56,-26.11,7.51,20.74,67.59,72.2,51.53,49.15,24.89,STARPAPER
Tax,,-2.01,-4.02,-8.03,4.24,7.23,17.95,-1.66,11.89,7.36,STARPAPER
Net profit,-42.4,-29.55,-22.08,15.54,16.5,60.36,54.26,53.19,37.27,17.52,STARPAPER
