,date,open,high,low,close,volume,Company_Name
0,2021-01-01 00:00:00+05:30,69.45,72.3,68.6,68.95,13715,STEL
1,2021-01-04 00:00:00+05:30,68.95,76.4,67.55,75.1,210147,STEL
2,2021-01-05 00:00:00+05:30,75.5,76.7,72.65,74.3,54718,STEL
3,2021-01-06 00:00:00+05:30,74.0,75.8,69.1,70.85,48087,STEL
4,2021-01-07 00:00:00+05:30,72.0,72.65,69.05,70.15,39636,STEL
5,2021-01-08 00:00:00+05:30,70.9,70.9,68.5,68.85,22267,STEL
6,2021-01-11 00:00:00+05:30,67.5,69.95,66.25,67.7,34232,STEL
7,2021-01-12 00:00:00+05:30,68.75,75.9,67.25,73.5,136255,STEL
8,2021-01-13 00:00:00+05:30,76.3,80.85,72.0,79.45,339624,STEL
9,2021-01-14 00:00:00+05:30,81.0,82.85,77.0,77.45,74849,STEL
10,2021-01-15 00:00:00+05:30,77.15,78.45,72.55,74.2,55064,STEL
11,2021-01-18 00:00:00+05:30,74.8,89.0,74.8,85.9,748185,STEL
12,2021-01-19 00:00:00+05:30,86.1,86.95,81.85,84.7,147545,STEL
13,2021-01-20 00:00:00+05:30,84.1,92.9,83.45,88.45,335592,STEL
14,2021-01-21 00:00:00+05:30,92.0,95.8,90.0,91.4,236609,STEL
15,2021-01-22 00:00:00+05:30,90.0,94.45,88.5,92.85,154755,STEL
16,2021-01-25 00:00:00+05:30,94.6,94.6,87.8,89.4,82109,STEL
17,2021-01-27 00:00:00+05:30,89.0,89.35,84.15,84.7,40123,STEL
18,2021-01-28 00:00:00+05:30,81.2,85.0,81.2,83.0,33709,STEL
19,2021-01-29 00:00:00+05:30,86.8,86.8,83.0,83.15,22531,STEL
20,2021-02-01 00:00:00+05:30,84.25,86.0,78.4,84.05,27404,STEL
21,2021-02-02 00:00:00+05:30,80.05,88.25,80.05,86.0,18371,STEL
22,2021-02-03 00:00:00+05:30,85.0,88.5,82.3,86.0,17438,STEL
23,2021-02-04 00:00:00+05:30,90.0,90.0,86.05,88.9,10766,STEL
24,2021-02-05 00:00:00+05:30,88.0,91.75,85.1,87.65,24831,STEL
25,2021-02-08 00:00:00+05:30,85.15,89.45,85.05,86.1,14025,STEL
26,2021-02-09 00:00:00+05:30,86.3,87.85,82.6,84.4,12976,STEL
27,2021-02-10 00:00:00+05:30,83.0,86.7,82.2,84.35,9949,STEL
28,2021-02-11 00:00:00+05:30,85.45,85.45,80.25,83.4,14549,STEL
29,2021-02-12 00:00:00+05:30,83.4,85.1,81.25,84.9,13851,STEL
30,2021-02-15 00:00:00+05:30,83.75,85.4,81.4,82.85,12435,STEL
31,2021-02-16 00:00:00+05:30,83.7,85.45,81.25,82.5,7251,STEL
32,2021-02-17 00:00:00+05:30,81.0,82.5,80.0,81.4,14452,STEL
33,2021-02-18 00:00:00+05:30,81.5,81.85,80.0,81.2,8456,STEL
34,2021-02-19 00:00:00+05:30,80.0,84.55,79.25,83.8,19301,STEL
35,2021-02-22 00:00:00+05:30,82.95,83.0,79.65,80.4,17004,STEL
36,2021-02-23 00:00:00+05:30,80.95,82.5,80.15,81.2,2437,STEL
37,2021-02-24 00:00:00+05:30,81.15,81.9,79.05,80.0,5787,STEL
38,2021-02-25 00:00:00+05:30,82.55,83.0,80.0,82.95,12171,STEL
39,2021-02-26 00:00:00+05:30,80.95,82.1,80.1,81.45,3196,STEL
40,2021-03-01 00:00:00+05:30,81.9,84.5,80.2,83.3,13432,STEL
41,2021-03-02 00:00:00+05:30,81.1,83.5,80.55,82.5,31142,STEL
42,2021-03-03 00:00:00+05:30,82.8,83.0,81.0,81.7,23810,STEL
43,2021-03-04 00:00:00+05:30,81.0,82.25,80.45,81.15,3372,STEL
44,2021-03-05 00:00:00+05:30,82.0,85.0,80.6,83.25,7514,STEL
45,2021-03-08 00:00:00+05:30,83.25,83.9,81.1,81.9,5555,STEL
46,2021-03-09 00:00:00+05:30,81.95,82.8,80.95,82.0,7939,STEL
47,2021-03-10 00:00:00+05:30,81.95,83.75,81.0,81.15,7154,STEL
48,2021-03-12 00:00:00+05:30,80.2,84.0,80.2,82.4,7840,STEL
49,2021-03-15 00:00:00+05:30,82.5,84.0,81.4,82.15,14630,STEL
50,2021-03-16 00:00:00+05:30,82.15,84.5,81.2,83.85,8313,STEL
51,2021-03-17 00:00:00+05:30,83.0,84.0,81.95,82.6,6673,STEL
52,2021-03-18 00:00:00+05:30,82.95,83.0,80.35,82.05,29846,STEL
53,2021-03-19 00:00:00+05:30,82.0,84.5,80.15,84.05,13343,STEL
54,2021-03-22 00:00:00+05:30,84.5,87.0,83.0,83.0,3387,STEL
55,2021-03-23 00:00:00+05:30,82.0,86.0,80.55,85.5,10985,STEL
56,2021-03-24 00:00:00+05:30,85.5,85.5,83.0,83.4,10668,STEL
57,2021-03-25 00:00:00+05:30,83.3,85.0,83.0,83.5,33382,STEL
58,2021-03-26 00:00:00+05:30,85.0,85.0,80.05,82.25,13666,STEL
59,2021-03-30 00:00:00+05:30,80.3,83.0,80.3,81.35,5752,STEL
60,2021-03-31 00:00:00+05:30,80.45,82.9,80.35,82.05,4868,STEL
61,2021-04-01 00:00:00+05:30,81.7,84.25,78.0,83.3,13288,STEL
62,2021-04-05 00:00:00+05:30,83.15,83.15,80.35,81.0,2421,STEL
63,2021-04-06 00:00:00+05:30,80.55,82.5,80.55,82.25,4894,STEL
64,2021-04-07 00:00:00+05:30,80.65,83.4,80.5,81.8,3323,STEL
65,2021-04-08 00:00:00+05:30,80.5,81.95,80.5,81.0,4521,STEL
66,2021-04-09 00:00:00+05:30,81.0,83.0,80.0,81.55,9314,STEL
67,2021-04-12 00:00:00+05:30,81.0,81.0,78.1,78.45,9082,STEL
68,2021-04-13 00:00:00+05:30,78.45,80.35,78.45,78.85,1001,STEL
69,2021-04-15 00:00:00+05:30,78.85,78.85,77.0,78.65,3703,STEL
70,2021-04-16 00:00:00+05:30,77.0,79.7,76.1,77.9,7260,STEL
71,2021-04-19 00:00:00+05:30,75.1,77.15,74.1,75.0,32972,STEL
72,2021-04-20 00:00:00+05:30,73.5,77.0,73.0,74.1,3661,STEL
73,2021-04-22 00:00:00+05:30,71.5,74.5,71.5,74.0,8682,STEL
74,2021-04-23 00:00:00+05:30,76.25,76.25,72.75,76.25,3517,STEL
75,2021-04-26 00:00:00+05:30,78.5,80.05,76.55,76.55,11163,STEL
76,2021-04-27 00:00:00+05:30,77.15,78.65,76.15,76.8,7334,STEL
77,2021-04-28 00:00:00+05:30,79.35,79.85,76.6,77.2,6870,STEL
78,2021-04-29 00:00:00+05:30,79.0,80.45,77.0,78.45,16831,STEL
79,2021-04-30 00:00:00+05:30,79.05,79.5,77.1,78.2,4470,STEL
80,2021-05-03 00:00:00+05:30,76.35,79.7,76.1,78.3,10709,STEL
81,2021-05-04 00:00:00+05:30,78.05,81.0,78.05,78.85,7839,STEL
82,2021-05-05 00:00:00+05:30,79.95,79.95,78.5,78.95,3344,STEL
83,2021-05-06 00:00:00+05:30,79.75,80.75,78.55,79.1,5430,STEL
84,2021-05-07 00:00:00+05:30,80.0,83.05,79.2,80.95,20311,STEL
85,2021-05-10 00:00:00+05:30,83.75,83.75,81.05,81.65,8786,STEL
86,2021-05-11 00:00:00+05:30,82.0,82.9,80.05,81.9,14555,STEL
87,2021-05-12 00:00:00+05:30,83.5,83.5,81.5,82.4,5753,STEL
88,2021-05-14 00:00:00+05:30,81.0,83.7,78.3,79.5,45063,STEL
89,2021-05-17 00:00:00+05:30,80.05,82.1,77.4,78.35,72063,STEL
90,2021-05-18 00:00:00+05:30,79.8,82.25,78.5,82.0,63283,STEL
91,2021-05-19 00:00:00+05:30,84.4,84.4,81.25,83.05,34079,STEL
92,2021-05-20 00:00:00+05:30,84.7,84.7,80.6,83.65,44074,STEL
93,2021-05-21 00:00:00+05:30,84.9,84.9,82.85,84.55,23463,STEL
94,2021-05-24 00:00:00+05:30,85.0,85.5,82.85,84.0,18785,STEL
95,2021-05-25 00:00:00+05:30,83.55,86.0,83.55,84.55,15370,STEL
96,2021-05-26 00:00:00+05:30,86.25,88.75,84.05,88.75,66171,STEL
97,2021-05-27 00:00:00+05:30,88.8,92.75,87.65,89.4,45570,STEL
98,2021-05-28 00:00:00+05:30,92.4,92.4,85.7,87.6,13633,STEL
99,2021-05-31 00:00:00+05:30,87.6,89.85,86.5,86.9,8916,STEL
100,2021-06-01 00:00:00+05:30,88.2,88.9,85.0,88.1,26861,STEL
101,2021-06-02 00:00:00+05:30,88.1,91.9,86.95,90.5,31136,STEL
102,2021-06-03 00:00:00+05:30,92.35,92.35,88.6,89.4,11743,STEL
103,2021-06-04 00:00:00+05:30,89.4,90.8,87.65,89.95,10489,STEL
104,2021-06-07 00:00:00+05:30,91.7,98.55,89.75,97.0,95939,STEL
105,2021-06-08 00:00:00+05:30,97.0,98.95,93.7,95.0,63586,STEL
106,2021-06-09 00:00:00+05:30,97.45,97.55,91.3,92.0,71740,STEL
107,2021-06-10 00:00:00+05:30,92.1,96.0,92.1,92.85,67662,STEL
108,2021-06-11 00:00:00+05:30,95.9,102.1,93.0,100.6,169822,STEL
109,2021-06-14 00:00:00+05:30,110.6,110.65,103.2,110.65,283671,STEL
110,2021-06-15 00:00:00+05:30,112.45,114.6,103.0,104.5,181369,STEL
