Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,2727.47,3353.71,2726.34,3030.1,2027.71,2255.85,2865.11,4862.63,4760.5,4142.01,STLTECH
Raw Material Cost,1959.57,2344.57,1804.98,1987.56,931.12,1046.77,1164.09,2613.98,2276.08,2116.01,STLTECH
Change in Inventory,56.02,-6.03,18.05,34.69,12.71,102.27,-16.68,110.47,-65.43,30.11,STLTECH
Power and Fuel,127.29,132.23,118.73,102.18,74.71,87.58,88.7,102.26,121.48,119.67,STLTECH
Other Mfr. Exp,139.83,187.61,170.73,193.61,201.69,210.94,240.77,292.63,230.38,262.65,STLTECH
Employee Cost,98.87,117.9,122.65,151.37,179.47,271.73,316.82,440.62,521.37,493.52,STLTECH
Selling and admin,133.39,148.7,133.61,149.45,167.21,192.66,225.24,287.37,306.27,266.79,STLTECH
Other Expenses,122.55,166.66,138.07,137.32,54.18,126.82,208.13,196.72,242.63,200.65,STLTECH
Other Income,21.24,37.28,15.62,42.74,20.46,22.81,35.38,34.84,-17.77,57.67,STLTECH
Depreciation,71.36,85.95,102.88,107.74,107.01,145.17,170.14,167.79,232.42,215.1,STLTECH
Interest,95.1,132.53,95.28,179.28,97.88,116.99,102.68,95.25,204.46,189.71,STLTECH
Profit before tax,56.77,68.81,73.08,99.02,247.61,182.27,367.24,811.32,542.21,365.69,STLTECH
Tax,12.93,21.35,22.88,14.78,66.19,26.34,112.56,276.09,108.69,104.28,STLTECH
Net profit,43.84,47.46,50.2,84.24,181.42,155.93,254.68,535.23,433.52,261.41,STLTECH
