Report Date,2012-06-30 00:00:00,2013-06-30 00:00:00,2014-06-30 00:00:00,2015-06-30 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,2272.67,2967.16,3264.3,2652.54,2068.05,2918.62,3026.61,3193.81,2724.25,3185.17,SUPPETRO
Raw Material Cost,2000.66,2625.87,2951.58,2386.21,1778.21,2502.18,2625.95,2821.2,2343.88,2287.79,SUPPETRO
Change in Inventory,-20.75,5.97,-28.26,35.97,-28.24,88.68,7.28,-56.83,-13.13,-6.72,SUPPETRO
Power and Fuel,34.08,41.29,40.27,41.43,33.65,36.6,40.35,47.49,46.55,41.72,SUPPETRO
Other Mfr. Exp,9.68,17.58,12.18,17.72,9.42,32.8,20.02,21.59,22.12,18.08,SUPPETRO
Employee Cost,21.89,24.08,28.37,32.22,26.52,35.56,39.8,39.97,42.05,46.08,SUPPETRO
Selling and admin,51.94,60.21,65.88,71.7,58.31,81.58,79.83,83.3,80.67,92.15,SUPPETRO
Other Expenses,37.38,46.88,47.99,45.8,29.96,21.11,31.68,30.08,27.36,18.32,SUPPETRO
Other Income,4.4,4.36,6.11,3.1,3.47,7.3,8.02,10.03,11.93,15.89,SUPPETRO
Depreciation,22.92,27.71,28.74,23.64,17.05,22.22,20.75,23.27,36.03,39.14,SUPPETRO
Interest,31.99,23.88,22.84,16.6,5.31,4.7,4.6,3.94,6.49,7.27,SUPPETRO
Profit before tax,45.78,109.99,44.3,56.29,84.85,277.85,178.93,76.17,117.9,643.79,SUPPETRO
Tax,14.4,37.16,13.71,20.59,27.8,98.44,62.82,26.96,15.24,166.29,SUPPETRO
Net profit,31.37,72.82,30.59,35.7,57.05,179.41,116.12,49.21,102.65,477.49,SUPPETRO
