Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,2522.39,2922.25,2962.33,2778.31,2964.16,3887.16,4937.81,5980.39,5469.02,5554.37,SURYAROSNI
Raw Material Cost,1950.36,2185.86,2328.48,2016.36,2194.84,2935.99,3861.32,4650.87,4293.22,4285.2,SURYAROSNI
Change in Inventory,0.24,-31.01,62.45,-4.49,21.57,82.83,84.07,-38.88,96.21,-15.66,SURYAROSNI
Power and Fuel,42.38,58.23,66.35,68.86,65.95,74.91,80.07,87.41,104.95,91.77,SURYAROSNI
Other Mfr. Exp,58.01,83.59,57.39,102.84,23.18,71.8,78.53,82.35,79.93,76.26,SURYAROSNI
Employee Cost,126.49,134.69,151.06,156.37,185.66,235.54,268.86,293.73,303.8,307.12,SURYAROSNI
Selling and admin,168.24,212.06,238.68,284.65,190.64,231.46,302.56,372.81,347.07,323.8,SURYAROSNI
Other Expenses,-18.77,-20.31,-51.75,-78.78,82.92,107.19,84.61,82.29,82.66,77.6,SURYAROSNI
Other Income,0.82,1.14,2.67,3.3,1.69,0.8,2.66,4.11,3.35,4.67,SURYAROSNI
Depreciation,47.31,56.51,55.64,56.04,61.01,83.61,87.31,88.51,103.47,102.7,SURYAROSNI
Interest,93.82,109.67,114.47,109.0,96.43,112.72,105.16,115.07,114.11,69.79,SURYAROSNI
Profit before tax,55.61,72.08,67.13,61.78,86.79,117.57,156.12,172.58,139.37,209.14,SURYAROSNI
Tax,3.63,2.83,13.76,7.69,23.69,31.29,48.08,51.7,37.16,52.64,SURYAROSNI
Net profit,51.98,69.25,53.36,54.09,63.1,86.28,108.04,120.88,102.21,156.5,SURYAROSNI
