Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,10.46,9.63,8.27,9.73,9.44,5.73,11.48,11.53,10.58,6.47,TAINWALCHM
Raw Material Cost,7.44,6.86,5.76,6.51,8.25,4.76,10.19,12.33,6.35,5.02,TAINWALCHM
Change in Inventory,-1.04,-0.36,0.15,-1.25,0.54,0.27,-0.16,2.23,-2.26,-0.26,TAINWALCHM
Power and Fuel,0.46,0.44,0.45,0.42,0.51,0.48,0.5,0.63,0.52,0.39,TAINWALCHM
Other Mfr. Exp,0.37,0.3,0.28,-0.04,0.4,0.3,0.15,0.51,0.35,0.19,TAINWALCHM
Employee Cost,1.71,1.79,1.81,1.92,2.15,1.77,2.11,2.33,2.29,2.06,TAINWALCHM
Selling and admin,0.93,0.81,0.76,0.72,0.96,0.97,1.02,1.0,0.61,0.67,TAINWALCHM
Other Expenses,-0.13,-0.16,,-0.05,0.12,0.1,0.24,0.36,0.18,0.31,TAINWALCHM
Other Income,2.34,2.14,1.73,3.88,6.89,9.74,9.69,5.64,6.86,2.62,TAINWALCHM
Depreciation,0.69,0.76,0.71,0.76,0.52,0.54,0.39,0.41,0.5,0.48,TAINWALCHM
Interest,0.03,0.02,0.02,0.02,0.1,0.08,0.04,0.04,0.03,0.04,TAINWALCHM
Profit before tax,0.26,0.59,0.36,2.1,3.86,6.74,6.37,1.79,4.35,-0.33,TAINWALCHM
Tax,,,0.06,0.07,0.01,,,-0.27,0.02,,TAINWALCHM
Net profit,0.26,0.59,0.3,2.03,3.86,6.74,6.37,2.05,4.34,-0.32,TAINWALCHM
