Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Sales,508.52,598.08,650.92,685.3,708.11,778.83,705.43,702.91,719.44,736.64,TATACOFFEE
Raw Material Cost,150.18,187.45,207.59,233.84,229.07,240.13,263.08,243.1,272.72,277.52,TATACOFFEE
Change in Inventory,9.77,15.84,30.55,13.51,-8.34,3.43,4.78,-1.8,0.8,14.48,TATACOFFEE
Power and Fuel,34.71,39.83,47.92,46.04,44.92,46.62,50.38,47.37,44.91,40.17,TATACOFFEE
Other Mfr. Exp,70.26,80.06,92.87,90.52,111.65,104.6,106.63,101.84,106.85,110.86,TATACOFFEE
Employee Cost,109.34,120.23,138.24,155.7,163.58,171.86,177.32,185.67,185.57,195.96,TATACOFFEE
Selling and admin,23.88,26.21,27.59,30.08,40.12,48.44,40.27,41.56,37.01,42.23,TATACOFFEE
Other Expenses,21.64,22.17,28.79,16.26,16.55,24.65,18.16,22.11,16.89,14.58,TATACOFFEE
Other Income,16.44,12.51,35.18,46.54,38.1,66.92,56.23,69.77,61.72,77.91,TATACOFFEE
Depreciation,13.24,14.78,20.51,22.04,21.63,22.41,22.36,23.19,24.67,24.25,TATACOFFEE
Interest,7.32,4.55,4.91,9.2,8.03,8.49,7.44,8.14,7.91,4.88,TATACOFFEE
Profit before tax,104.16,131.15,148.23,141.67,102.32,181.98,80.8,97.9,85.43,118.58,TATACOFFEE
Tax,25.31,37.46,41.66,40.11,37.58,42.75,18.04,26.32,12.21,17.79,TATACOFFEE
Net profit,78.85,93.69,106.57,101.56,64.73,139.23,62.76,71.58,73.21,100.8,TATACOFFEE
