Report Date,2012-03-31 00:00:00,2013-03-31 00:00:00,2014-03-31 00:00:00,2015-03-31 00:00:00,2016-03-31 00:00:00,2017-03-31 00:00:00,2018-03-31 00:00:00,2019-03-31 00:00:00,2020-03-31 00:00:00,2021-03-31 00:00:00,Company_Name
Equity Share Capital,25.29,25.29,25.29,25.29,25.29,25.29,25.29,28.09,28.09,31.58,TATAMETALI
Reserves,-3.7,-58.24,-19.64,63.38,73.75,181.89,333.39,682.94,835.26,1268.48,TATAMETALI
Borrowings,442.35,354.73,245.28,213.82,410.08,539.64,475.28,42.19,302.33,160.21,TATAMETALI
Other Liabilities,207.33,410.04,431.83,401.62,350.1,318.88,290.62,629.28,529.06,401.54,TATAMETALI
Total,671.27,731.82,682.76,704.11,859.22,1065.7,1124.58,1382.5,1694.74,1861.81,TATAMETALI
Net Block,187.67,152.22,225.78,200.13,352.59,589.73,585.54,629.58,668.25,792.6,TATAMETALI
Capital Work in Progress,26.39,113.96,3.47,0.44,87.69,33.54,24.21,31.48,98.35,133.5,TATAMETALI
Investments,101.82,98.82,133.82,133.82,0.02,0.02,10.03,0.02,10.01,0.01,TATAMETALI
Other Assets,355.39,366.82,319.69,369.72,418.92,442.41,504.8,721.42,918.13,935.7,TATAMETALI
Total,671.27,731.82,682.76,704.11,859.22,1065.7,1124.58,1382.5,1694.74,1861.81,TATAMETALI
Receivables,44.83,121.22,152.24,215.11,170.66,187.92,214.19,277.81,280.27,246.96,TATAMETALI
Inventory,136.85,167.62,82.17,72.17,120.05,160.19,198.66,315.04,385.48,408.7,TATAMETALI
Cash & Bank,72.05,1.77,17.14,2.29,1.5,2.16,3.21,28.82,109.86,42.07,TATAMETALI
No. of Equity Shares,25288000.0,25288000.0,25288000.0,25288000.0,25288000.0,25288000.0,25288000.0,28085000.0,28085000.0,31577500.0,TATAMETALI
New Bonus Shares,,,,,,,,,,,TATAMETALI
Face value,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,TATAMETALI
